gate,result,status,evidence
continuity_runtime,215/215,PASS,evidence/v101124/CONTINUITY_RUNTIME_MATRIX.json
continuity_candidate_universe,5 approved; no extra strong ungrouped,PASS,evidence/v101124/CONTINUITY_CANDIDATE_AUDIT.json
continuity_mutation_detection,9/9,PASS,evidence/v101124/CONTINUITY_MUTATION_TESTS.json
hour24_state,16/16,PASS,evidence/v101124/HOUR24_STATE_TRANSITION_MATRIX.json
hour24_five_profile_ux,70/70,PASS,evidence/v101124/HOUR24_FIVE_PROFILE_UX_MATRIX.json
help,70/70,PASS,evidence/v101124/HELP_BROWSER_MATRIX.json
broad_runtime,52/52,PASS,evidence/v101124/BROAD_CHROMIUM_RUNTIME_MATRIX.json
quoted_span_fixed_point,0/0 defects; 398 presentation spans,PASS,evidence/v101124/fixed/M1_FIXED_POINT_SUMMARY.json
presentation,1990/1990,PASS,evidence/v101124/EXHAUSTIVE_PRESENTATION_RUNTIME_MATRIX.json
service_worker,15/15,PASS,evidence/v101124/SERVICE_WORKER_LOGIC_MATRIX.json
independent_hour24,55/55,PASS,evidence/v101124/INDEPENDENT_HOUR24_PROBE.json
independent_runtime,50/50,PASS,evidence/v101124/INDEPENDENT_RUNTIME_SMOKE.json
independent_presentation,1990/1990,PASS,evidence/v101124/INDEPENDENT_PRESENTATION_MATRIX.json
protected_declarations,13 unchanged + 1 authorized continuity delta,PASS,evidence/v101124/PROTECTED_DECLARATION_PARITY.json
independent_continuity,205/205,PASS,evidence/v101124/INDEPENDENT_CONTINUITY_PROBE.json
hour24_mutation_detection,12/12,PASS,evidence/v101124/HOUR24_MUTATION_TEST_MATRIX.json
