path	token	classification	context
README.md	v101.87	HISTORICAL_ALLOWED	1.88`   Evidence stage: `T88-R1`  ## v101.88 — exact Approfondir title-text selection  Real iPhone feedback proved that v101.87 still did not implement the required feature: selecting part of an Approfondir title did not enter the normal annotation pipeline. v101.88 makes each visible A
audit/independent_four_pass_audit.md	v101.87	HISTORICAL_ALLOWED	 — cache v101-88 - P1-schema: **PASS** — schema8/snapshot5 - P1-protected: **PASS** — 6/6 protected hashes identical to v101.87 - P1-title-helper: **PASS** — stable .TITLE helper - P1-title-target: **PASS** — getTargetInfo library_title - P1-shared-selector: **PASS** — shared selectable
metadata/user_feedback_authority.md	v101.87	HISTORICAL_ALLOWED	# User-feedback authority — v101.88  Physical iPhone evidence proved that v101.87 did not support partial native selection of Approfondir title text. v101.88 implements exact title text as a first-class annotation target while keeping whole-
reports/independent_four_pass_summary.json	v101.87	HISTORICAL_ALLOWED	},     {       "scenario": "P1-protected",       "status": "PASS",       "evidence": "6/6 protected hashes identical to v101.87"     },     {       "scenario": "P1-title-helper",       "status": "PASS",       "evidence": "stable .TITLE helper"     },     {       "scenario": "P1-title-ta
scripts/L24H_v10188_EXACT_TITLE_SELECTION_HARDGATED_SCRIPT_2026-08-19.md	v101.87	HISTORICAL_ALLOWED	1.zip` - Required baseline SHA-256: `710416524b57501f5154fd9b333c19ac622b3352c2d36a6d7af8f07172538d28` - Baseline app: `v101.87` - Storage schema: `8` — protected unless a gate proves a change is unavoidable. - Personal snapshot: `5` — protected unless a gate proves a change is unavoida
scripts/L24H_v10188_EXACT_TITLE_SELECTION_HARDGATED_SCRIPT_2026-08-19.md	v101.87	HISTORICAL_ALLOWED	 report line and bind claims to current evidence.  Pass 4 — scan recursively for contradictions, stale PASS/FAIL, stale v101.87 current-facing instructions, old cache names, stale title-marker wording and obsolete counts.  Any failure blocks packaging.  ## Deterministic packaging gate  
scripts/L24H_v10188_EXACT_TITLE_SELECTION_HARDGATED_SCRIPT_2026-08-19.md	Surligner le titre	HISTORICAL_ALLOWED	-reading marker separation  `libraryMarks` remains a separate reading-level feature.  Visible wording changes:  ```text Surligner le titre           → Marquer cette lecture Modifier / retirer ...       → Modifier / retirer le repère Lectures marquées            → unchanged ```  The reading marker 
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	.read_bytes(): die('runtime twins differ')     s=(stage/'index.html').read_text('utf-8')     req=["const APP_VERSION = 'v101.87';",'const STORAGE_SCHEMA_VERSION=8;','const PERSONAL_SNAPSHOT_VERSION = 5;','function getTargetInfo(paraId)','function renderParaText(text, paraId)','function 
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	o not fit validPersonalId')     return s,protected(s)  def patch_runtime(s):     s=replace_once(s,"const APP_VERSION = 'v101.87';","const APP_VERSION = 'v101.88';",'APP_VERSION')     s=replace_once(s,"const BUILD_DATE = '2026-08-19'; // v101.87 / title-highlight mobile event-isolation r
scripts/l24h_v10188_exact_title_selection_build.py	v101.87	HISTORICAL_ALLOWED	= 'v101.87';","const APP_VERSION = 'v101.88';",'APP_VERSION')     s=replace_once(s,"const BUILD_DATE = '2026-08-19'; // v101.87 / title-highlight mobile event-isolation repair","const BUILD_DATE = '2026-08-19'; // v101.88 / exact Approfondir title-text selection + reading-marker separat
