test_id,platform,required,expected,actual,status,notes
ID-01,browser,YES,Aide shows v101.141 R1 and stage SEARCH_COMPLETENESS_SUCCESSOR_R1,,,
SEARCH-TITLE-HOUR,iPhone;iPad;Samsung,YES,24/24 exact Hour titles return and open owning Hour,,,
SEARCH-TITLE-PRAYER,iPhone;iPad;Samsung,YES,5/5 exact Prayer titles return and open owning prayer,,,
SEARCH-TITLE-SECTION,iPhone;iPad;Samsung,YES,All exact Section titles return and open owning complement,,,
SEARCH-SPEECH-LDC,iPhone;iPad;Samsung,YES,Representative Jésus Marie Père linked-library speech appears under Paroles directes and opens exact anchor,,,
SEARCH-COUNT,iPhone;iPad;Samsung,YES,Exact total shown without plus when more than 60 results and limit note remains,,,
SEARCH-REGRESSION,iPhone;iPad;Samsung,YES,Normalization filters highlighting deep links and 36 corrected LDC searches remain correct,,,
STATE-01,iPhone;iPad;Samsung,YES,Existing notes highlights progression last-place theme and font survive installed-PWA update,,,
PWA-01,iPhone;iPad;Samsung,YES,Installed-PWA update reaches exact SHA-bound v101.141 R1 and survives three close/reopen cycles,,,
OFFLINE-01,iPhone;iPad;Samsung,YES,True offline cold reopen succeeds after update,,,
A11Y-01,iPhone;iPad;Samsung,YES,Representative VoiceOver or TalkBack navigation is usable,,,
