path,line,line_text,line_type,status,assertion_id,evidence_type,evidence_path,evidence_detail
reports/CONTINUITY_PRODUCT_CONTRACT.md,1,# Cross-record continuity product contract — v101.125,STRUCTURE,PASS,A0001,STRUCTURE,reports/CONTINUITY_PRODUCT_CONTRACT.md,heading/structure only
reports/CONTINUITY_PRODUCT_CONTRACT.md,3,- Scope: inherited unchanged from v101.124; presentation continuity only; canonical text and stable paragraph IDs remain unchanged.,CONTINUITY_CONTRACT,PASS,A0002,CONTINUITY_CONTRACT,evidence/v101125/FUNCTIONAL_HTML_PARITY.json,functional/canonical/stable identity inherited
reports/CONTINUITY_PRODUCT_CONTRACT.md,4,- Approved continuity universe: exactly five leader→follower pairs recorded in `CONTINUITY_GROUPS`.,CONTINUITY_CONTRACT,PASS,A0003,CONTINUITY_CONTRACT,evidence/v101125/CONTINUITY_CANDIDATE_AUDIT.json,exact five approved pairs
reports/CONTINUITY_PRODUCT_CONTRACT.md,5,- Visual contract: each approved pair renders as one inline grammatical flow with exactly one ordinary space between record texts.,CONTINUITY_CONTRACT,PASS,A0004,CONTINUITY_CONTRACT,evidence/v101125/CONTINUITY_RUNTIME_MATRIX.json,25/25 inline + single-space across five profiles
reports/CONTINUITY_PRODUCT_CONTRACT.md,6,- Stable-ID contract: leader and follower remain separately addressable `.para-block` fragments with their original `id` and `data-para-id`.,CONTINUITY_CONTRACT,PASS,A0005,CONTINUITY_CONTRACT,evidence/v101125/CONTINUITY_RUNTIME_MATRIX.json,stable id/data-id checks across all pairs/profiles
reports/CONTINUITY_PRODUCT_CONTRACT.md,7,- Annotation contract: notes/highlights/deep-link targets retain record-level identity because both stable IDs/data IDs and storage/anchor authorities remain unchanged.,CONTINUITY_CONTRACT,PASS,A0006,CONTINUITY_CONTRACT,evidence/v101125/CONTINUITY_RUNTIME_MATRIX.json,record-level ids/notes plus unchanged anchor/storage authorities
reports/CONTINUITY_PRODUCT_CONTRACT.md,8,- Repères contract: one paragraph-number/speaker header is shown for each visual continuity unit; the approved pairs do not conceal a distinct follower speaker attribution.,CONTINUITY_CONTRACT,PASS,A0007,CONTINUITY_CONTRACT,evidence/v101125/CONTINUITY_SPEAKER_HEADER_AUDIT.json,one repères surface and no distinct follower divine speaker suppressed
reports/CONTINUITY_PRODUCT_CONTRACT.md,9,- Fail-closed contract: grouping occurs only when the approved follower is immediately adjacent in the rendered paragraph sequence.,CONTINUITY_CONTRACT,PASS,A0008,CONTINUITY_CONTRACT,evidence/v101125/CONTINUITY_MUTATION_TESTS.json,adjacency guard exists and its removal is detected
reports/CONTINUITY_PRODUCT_CONTRACT.md,10,- No automatic broad punctuation heuristic is used at runtime.,CONTINUITY_CONTRACT,PASS,A0009,CONTINUITY_CONTRACT,index.html,runtime grouping is fixed-group lookup; no punctuation heuristic in renderer
reports/CONTINUITY_PRODUCT_CONTRACT.md,11,"Evidence: `evidence/v101125/CONTINUITY_RUNTIME_MATRIX.json`, `evidence/v101125/INDEPENDENT_CONTINUITY_PROBE.json`, `evidence/v101125/PROTECTED_DECLARATION_PARITY.json`, `evidence/v101125/CONTINUITY_SPEAKER_HEADER_AUDIT.json`.",EVIDENCE_POINTERS,PASS,A0010,EVIDENCE_POINTERS,evidence/v101125/CONTINUITY_RUNTIME_MATRIX.json;evidence/v101125/INDEPENDENT_CONTINUITY_PROBE.json;evidence/v101125/PROTECTED_DECLARATION_PARITY.json;evidence/v101125/CONTINUITY_SPEAKER_HEADER_AUDIT.json,all declared evidence paths exist
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,1,# Evidence-schema and direct-report-binding reconciliation — v101.125,STRUCTURE,PASS,A0011,STRUCTURE,reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,heading/structure only
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,3,"- v101.124 application/runtime evidence reruns remain PASS, but its report/evidence layer is superseded for current continuation.",RECONCILIATION,PASS,A0012,RECONCILIATION,evidence/v101125/V101124_DEEP_FOUR_PASS_FINDINGS.json,runtime PASS; report layer superseded
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,4,- Reproduced v101.124 defect A: some active report lines were bound to evidence that did not directly prove that specific claim.,RECONCILIATION,PASS,A0013,RECONCILIATION,evidence/v101125/V101124_DEEP_FOUR_PASS_FINDINGS.json,reproduced direct-binding defect
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,5,- Reproduced v101.124 defect B: current generated evidence contained older schema identifiers (`V101123` / `V101121`) while current v101.124 tools had already moved some schemas forward.,RECONCILIATION,PASS,A0014,RECONCILIATION,evidence/v101125/V101124_DEEP_FOUR_PASS_FINDINGS.json,reproduced stale generated schema defect
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,6,"- Reproduced v101.124 defect C: the v101.124 stale scanner did not include the current `evidence/v101124` tree, so its zero-stale-reference claim did not cover current evidence artifacts.",RECONCILIATION,PASS,A0015,RECONCILIATION,evidence/v101125/V101124_DEEP_FOUR_PASS_FINDINGS.json,reproduced stale-scan scope defect
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,7,"- v101.125 corrects only release identity, current evidence schemas, stale-scan scope and claim-specific report bindings.",RECONCILIATION,PASS,A0016,RECONCILIATION,evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json,current evidence schemas/stale scope corrected
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,8,- Functional application behaviour is unchanged after normalising release identity.,RECONCILIATION,PASS,A0017,RECONCILIATION,evidence/v101125/FUNCTIONAL_HTML_PARITY.json,identity-normalized byte parity
reports/EVIDENCE_SCHEMA_AND_BINDING_RECONCILIATION.md,9,"Evidence: `evidence/v101125/V101124_DEEP_FOUR_PASS_FINDINGS.json`, `evidence/v101125/FUNCTIONAL_HTML_PARITY.json`, `evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json`.",EVIDENCE_POINTERS,PASS,A0018,EVIDENCE_POINTERS,evidence/v101125/V101124_DEEP_FOUR_PASS_FINDINGS.json;evidence/v101125/FUNCTIONAL_HTML_PARITY.json;evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json,all declared evidence paths exist
reports/build_script_vs_files_audit.md,1,# Build script vs files — v101.125,STRUCTURE,PASS,A0019,STRUCTURE,reports/build_script_vs_files_audit.md,heading/structure only
reports/build_script_vs_files_audit.md,3,- Status: **PASS** only if `evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json` is current and PASS.,BUILD_REPRODUCTION,PASS,A0020,BUILD_REPRODUCTION,evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json,current full build reproduction PASS
reports/build_script_vs_files_audit.md,4,- Baseline: immutable v101.124 ZIP SHA-256 `15b9fdb66fb07617ac8078fddb3e4076347390252a510c6eeb4b613f4a06d3ac`.,BUILD_REPRODUCTION,PASS,A0021,BUILD_REPRODUCTION,evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json,exact immutable baseline hash
reports/build_script_vs_files_audit.md,5,- Builder: `scripts/build_v101125_full_package_reconciliation.py`.,BUILD_REPRODUCTION,PASS,A0022,BUILD_REPRODUCTION,evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json,exact builder recorded
reports/build_script_vs_files_audit.md,6,- Contract: baseline extraction + exact `metadata/full_build_overlay_manifest.json` must reproduce the complete current package-source tree and reconcile the current hash manifest.,BUILD_REPRODUCTION,PASS,A0023,BUILD_REPRODUCTION,evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json,full tree + hash manifest reconciliation
reports/build_script_vs_files_audit.md,7,"- Deterministic ZIP freeze is permitted only after current reports, tooling, evidence and manifests are final.",BUILD_REPRODUCTION,PASS,A0024,BUILD_REPRODUCTION,metadata/release_evidence_lifecycle.json,freeze lifecycle contract
reports/build_script_vs_files_audit.md,8,"Evidence: `evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json`, `metadata/release_evidence_lifecycle.json`.",EVIDENCE_POINTERS,PASS,A0025,EVIDENCE_POINTERS,evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json;metadata/release_evidence_lifecycle.json,all declared evidence paths exist
reports/current_metadata_semantic_consistency.md,1,# Current metadata and semantic consistency — v101.125,STRUCTURE,PASS,A0026,STRUCTURE,reports/current_metadata_semantic_consistency.md,heading/structure only
reports/current_metadata_semantic_consistency.md,3,- APP_VERSION: `v101.125`.,CURRENT_METADATA,PASS,A0027,CURRENT_METADATA,version.json,version.json + HTML current identity
reports/current_metadata_semantic_consistency.md,4,- Stage: `FOUR_PASS_EVIDENCE_SCHEMA_AND_DIRECT_REPORT_BINDING_RECONCILIATION_R1`.,CURRENT_METADATA,PASS,A0028,CURRENT_METADATA,index.html,exact current stage constant
reports/current_metadata_semantic_consistency.md,5,- Service-worker cache: `luisa-24h-v101-125`.,CURRENT_METADATA,PASS,A0029,CURRENT_METADATA,sw.js,version metadata and SW cache identity agree
reports/current_metadata_semantic_consistency.md,6,- Storage schema: 8; personal snapshot: 5.,CURRENT_METADATA,PASS,A0030,CURRENT_METADATA,version.json,exact storage/personal snapshot versions
reports/current_metadata_semantic_consistency.md,7,- Canonical devotional text: unchanged versus v101.124.,CURRENT_METADATA,PASS,A0031,CURRENT_METADATA,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,canonical/protected declarations unchanged
reports/current_metadata_semantic_consistency.md,8,"- All 14 governed declarations, including `CONTINUITY_GROUPS`, are byte-identical to v101.124.",CURRENT_METADATA,PASS,A0032,CURRENT_METADATA,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,14/14 exact declaration parity
reports/current_metadata_semantic_consistency.md,9,- Cross-record continuity behaviour is inherited unchanged from v101.124.,CURRENT_METADATA,PASS,A0033,CURRENT_METADATA,evidence/v101125/FUNCTIONAL_HTML_PARITY.json,complete functional HTML parity after release identity normalization
reports/current_metadata_semantic_consistency.md,10,- Final package status remains prefreeze/conditional inside the immutable package; final reopened-ZIP decisions are external and written after freeze.,CURRENT_METADATA,PASS,A0034,CURRENT_METADATA,metadata/release_evidence_lifecycle.json,package remains prefreeze/conditional; postfreeze decision external
reports/current_metadata_semantic_consistency.md,11,"Evidence: `version.json`, `index.html`, `sw.js`, `evidence/v101125/PROTECTED_DECLARATION_PARITY.json`, `evidence/v101125/FUNCTIONAL_HTML_PARITY.json`, `metadata/release_evidence_lifecycle.json`.",EVIDENCE_POINTERS,PASS,A0035,EVIDENCE_POINTERS,version.json;index.html;sw.js;evidence/v101125/PROTECTED_DECLARATION_PARITY.json;evidence/v101125/FUNCTIONAL_HTML_PARITY.json;metadata/release_evidence_lifecycle.json,all declared evidence paths exist
reports/four_pass_deep_audit.md,1,# v101.125 four-pass deep audit — prefreeze,STRUCTURE,PASS,A0036,STRUCTURE,reports/four_pass_deep_audit.md,heading/structure only
reports/four_pass_deep_audit.md,3,- Pass 1 — files vs build script/current tooling: **PASS** only after fresh self-contained reproduction.,FOUR_PASS,PASS,A0037,FOUR_PASS,evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json,fresh full build evidence
reports/four_pass_deep_audit.md,4,- Pass 2 — runtime/package behaviour: **PASS** only after the full current regression matrix reruns.,FOUR_PASS,PASS,A0038,FOUR_PASS,reports/full_regression_matrix.csv,all current runtime/package regression rows pass
reports/four_pass_deep_audit.md,5,- Pass 3 — every active current report line vs claim-specific direct evidence: **PASS** only when exact line coverage and claim assertions both pass.,FOUR_PASS_REPORT_INTEGRITY,PASS,A0094,FOUR_PASS_REPORT_INTEGRITY,evidence/v101125/REPORT_CLAIM_ASSERTIONS.json,all non-self active report claims have claim-specific PASS assertions
reports/four_pass_deep_audit.md,6,"- Pass 4 — stale references, stale evidence schemas, semantic assumptions and contradictions: **PASS** only when both current stale scans and the current-evidence schema audit pass.",FOUR_PASS,PASS,A0039,FOUR_PASS,evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json,version/semantic/schema stale gates all pass
reports/four_pass_deep_audit.md,7,- v101.124 report/evidence integrity defects are explicitly superseded; its application/runtime evidence remains historical predecessor evidence.,FOUR_PASS,PASS,A0040,FOUR_PASS,evidence/v101125/V101124_DEEP_FOUR_PASS_FINDINGS.json,predecessor report defect superseded; runtime retained
reports/four_pass_deep_audit.md,8,- Physical-device/live-origin/PWA/offline/accessibility: **NOT TESTED** for v101.125.,FOUR_PASS,PASS,A0041,FOUR_PASS,version.json,external device/live gates explicitly not tested
reports/four_pass_deep_audit.md,9,- Final reopened-ZIP audits are external/post-freeze and are not claimed PASS by this prefreeze report.,FOUR_PASS,PASS,A0042,FOUR_PASS,metadata/release_evidence_lifecycle.json,reopen decisions external/postfreeze
reports/four_pass_deep_audit.md,10,"Evidence: `reports/full_regression_matrix.csv`, `evidence/v101125/ACTIVE_REPORT_LINE_AUDIT_SUMMARY.json`, `evidence/v101125/REPORT_CLAIM_ASSERTIONS.json`, `evidence/v101125/VERSION_STALE_SCAN.json`, `evidence/v101125/SEMANTIC_STALE_SCAN.json`, `evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json`, `evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json`.",EVIDENCE_POINTERS,PASS,A0043,EVIDENCE_POINTERS,reports/full_regression_matrix.csv;evidence/v101125/ACTIVE_REPORT_LINE_AUDIT_SUMMARY.json;evidence/v101125/REPORT_CLAIM_ASSERTIONS.json;evidence/v101125/VERSION_STALE_SCAN.json;evidence/v101125/SEMANTIC_STALE_SCAN.json;evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json;evidence/v101125/FULL_PACKAGE_BUILD_REPRODUCTION.json,all declared evidence paths exist
reports/full_regression_matrix.csv,1,"gate,result,status,evidence",STRUCTURE,PASS,A0044,STRUCTURE,reports/full_regression_matrix.csv,exact CSV schema
reports/full_regression_matrix.csv,2,"continuity_runtime,215/215,PASS,evidence/v101125/CONTINUITY_RUNTIME_MATRIX.json",EXECUTED_GATE,PASS,A0045,EXECUTED_GATE,evidence/v101125/CONTINUITY_RUNTIME_MATRIX.json,claim-specific gate assertion continuity_runtime
reports/full_regression_matrix.csv,3,"continuity_candidate_universe,5 approved; no extra strong ungrouped,PASS,evidence/v101125/CONTINUITY_CANDIDATE_AUDIT.json",EXECUTED_GATE,PASS,A0046,EXECUTED_GATE,evidence/v101125/CONTINUITY_CANDIDATE_AUDIT.json,claim-specific gate assertion continuity_candidate_universe
reports/full_regression_matrix.csv,4,"continuity_speaker_header,5/5; no distinct follower divine speaker suppressed,PASS,evidence/v101125/CONTINUITY_SPEAKER_HEADER_AUDIT.json",EXECUTED_GATE,PASS,A0047,EXECUTED_GATE,evidence/v101125/CONTINUITY_SPEAKER_HEADER_AUDIT.json,claim-specific gate assertion continuity_speaker_header
reports/full_regression_matrix.csv,5,"continuity_mutation_detection,9/9,PASS,evidence/v101125/CONTINUITY_MUTATION_TESTS.json",EXECUTED_GATE,PASS,A0048,EXECUTED_GATE,evidence/v101125/CONTINUITY_MUTATION_TESTS.json,claim-specific gate assertion continuity_mutation_detection
reports/full_regression_matrix.csv,6,"hour24_state,16/16,PASS,evidence/v101125/HOUR24_STATE_TRANSITION_MATRIX.json",EXECUTED_GATE,PASS,A0049,EXECUTED_GATE,evidence/v101125/HOUR24_STATE_TRANSITION_MATRIX.json,claim-specific gate assertion hour24_state
reports/full_regression_matrix.csv,7,"hour24_five_profile_ux,70/70,PASS,evidence/v101125/HOUR24_FIVE_PROFILE_UX_MATRIX.json",EXECUTED_GATE,PASS,A0050,EXECUTED_GATE,evidence/v101125/HOUR24_FIVE_PROFILE_UX_MATRIX.json,claim-specific gate assertion hour24_five_profile_ux
reports/full_regression_matrix.csv,8,"help,70/70,PASS,evidence/v101125/HELP_BROWSER_MATRIX.json",EXECUTED_GATE,PASS,A0051,EXECUTED_GATE,evidence/v101125/HELP_BROWSER_MATRIX.json,claim-specific gate assertion help
reports/full_regression_matrix.csv,9,"broad_runtime,52/52,PASS,evidence/v101125/BROAD_CHROMIUM_RUNTIME_MATRIX.json",EXECUTED_GATE,PASS,A0052,EXECUTED_GATE,evidence/v101125/BROAD_CHROMIUM_RUNTIME_MATRIX.json,claim-specific gate assertion broad_runtime
reports/full_regression_matrix.csv,10,"quoted_span_fixed_point,0/0 defects; 398 presentation spans,PASS,evidence/v101125/fixed/M1_FIXED_POINT_SUMMARY.json",EXECUTED_GATE,PASS,A0053,EXECUTED_GATE,evidence/v101125/fixed/M1_FIXED_POINT_SUMMARY.json,claim-specific gate assertion quoted_span_fixed_point
reports/full_regression_matrix.csv,11,"presentation,1990/1990,PASS,evidence/v101125/EXHAUSTIVE_PRESENTATION_RUNTIME_MATRIX.json",EXECUTED_GATE,PASS,A0054,EXECUTED_GATE,evidence/v101125/EXHAUSTIVE_PRESENTATION_RUNTIME_MATRIX.json,claim-specific gate assertion presentation
reports/full_regression_matrix.csv,12,"service_worker,15/15,PASS,evidence/v101125/SERVICE_WORKER_LOGIC_MATRIX.json",EXECUTED_GATE,PASS,A0055,EXECUTED_GATE,evidence/v101125/SERVICE_WORKER_LOGIC_MATRIX.json,claim-specific gate assertion service_worker
reports/full_regression_matrix.csv,13,"independent_hour24,55/55,PASS,evidence/v101125/INDEPENDENT_HOUR24_PROBE.json",EXECUTED_GATE,PASS,A0056,EXECUTED_GATE,evidence/v101125/INDEPENDENT_HOUR24_PROBE.json,claim-specific gate assertion independent_hour24
reports/full_regression_matrix.csv,14,"independent_runtime,50/50,PASS,evidence/v101125/INDEPENDENT_RUNTIME_SMOKE.json",EXECUTED_GATE,PASS,A0057,EXECUTED_GATE,evidence/v101125/INDEPENDENT_RUNTIME_SMOKE.json,claim-specific gate assertion independent_runtime
reports/full_regression_matrix.csv,15,"independent_presentation,1990/1990,PASS,evidence/v101125/INDEPENDENT_PRESENTATION_MATRIX.json",EXECUTED_GATE,PASS,A0058,EXECUTED_GATE,evidence/v101125/INDEPENDENT_PRESENTATION_MATRIX.json,claim-specific gate assertion independent_presentation
reports/full_regression_matrix.csv,16,"independent_continuity,205/205,PASS,evidence/v101125/INDEPENDENT_CONTINUITY_PROBE.json",EXECUTED_GATE,PASS,A0059,EXECUTED_GATE,evidence/v101125/INDEPENDENT_CONTINUITY_PROBE.json,claim-specific gate assertion independent_continuity
reports/full_regression_matrix.csv,17,"hour24_mutation_detection,12/12,PASS,evidence/v101125/HOUR24_MUTATION_TEST_MATRIX.json",EXECUTED_GATE,PASS,A0060,EXECUTED_GATE,evidence/v101125/HOUR24_MUTATION_TEST_MATRIX.json,claim-specific gate assertion hour24_mutation_detection
reports/full_regression_matrix.csv,18,"protected_declarations,14/14 unchanged,PASS,evidence/v101125/PROTECTED_DECLARATION_PARITY.json",EXECUTED_GATE,PASS,A0061,EXECUTED_GATE,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,claim-specific gate assertion protected_declarations
reports/full_regression_matrix.csv,19,"functional_html_parity,identity-normalized byte parity,PASS,evidence/v101125/FUNCTIONAL_HTML_PARITY.json",EXECUTED_GATE,PASS,A0062,EXECUTED_GATE,evidence/v101125/FUNCTIONAL_HTML_PARITY.json,claim-specific gate assertion functional_html_parity
reports/full_regression_matrix.csv,20,"current_evidence_schema,all current evidence consistent or explicitly lineage-classified,PASS,evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json",EXECUTED_GATE,PASS,A0063,EXECUTED_GATE,evidence/v101125/CURRENT_EVIDENCE_SCHEMA_AUDIT.json,claim-specific gate assertion current_evidence_schema
reports/protected_declaration_parity.csv,1,"declaration,baseline_sha256,current_sha256,status,detail",STRUCTURE,PASS,A0064,STRUCTURE,reports/protected_declaration_parity.csv,exact CSV schema
reports/protected_declaration_parity.csv,2,"CORPUS,630ce4d98e80d3649a4c96340e05d556f17249a5ac55dea8789966f8d24d67b3,630ce4d98e80d3649a4c96340e05d556f17249a5ac55dea8789966f8d24d67b3,PASS,byte-identical expression",DECLARATION_PARITY,PASS,A0065,DECLARATION_PARITY,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,exact row match for CORPUS
reports/protected_declaration_parity.csv,3,"TEXT_LIBRARY,27721abc524d1d4ff652f6c0c9919d7c24b5fda21a75bcd11c01f651b8c913e8,27721abc524d1d4ff652f6c0c9919d7c24b5fda21a75bcd11c01f651b8c913e8,PASS,byte-identical expression",DECLARATION_PARITY,PASS,A0066,DECLARATION_PARITY,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,exact row match for TEXT_LIBRARY
reports/protected_declaration_parity.csv,4,"HOUR_LINKED_TEXTS,1a75b674a677d0a91ac643abbeea3c22d9773599a33ff3c9c6a30bd9f51aa0d2,1a75b674a677d0a91ac643abbeea3c22d9773599a33ff3c9c6a30bd9f51aa0d2,PASS,byte-identical expression",DECLARATION_PARITY,PASS,A0067,DECLARATION_PARITY,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,exact row match for HOUR_LINKED_TEXTS
reports/protected_declaration_parity.csv,5,"INTERNAL_SUBHEADINGS,cabf1d5d2b13c60f91198e1cee0629bec0d2e00b915afc8db7e2d3be02586782,cabf1d5d2b13c60f91198e1cee0629bec0d2e00b915afc8db7e2d3be02586782,PASS,byte-identical expression",DECLARATION_PARITY,PASS,A0068,DECLARATION_PARITY,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,exact row match for INTERNAL_SUBHEADINGS
reports/protected_declaration_parity.csv,6,"DISPLAY_SEGMENTS,4b548f9729cb39d9bb200660270e280c4a72ac24ef5c13904e4dd4cfa8366d24,4b548f9729cb39d9bb200660270e280c4a72ac24ef5c13904e4dd4cfa8366d24,PASS,byte-identical expression",DECLARATION_PARITY,PASS,A0069,DECLARATION_PARITY,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,exact row match for DISPLAY_SEGMENTS
reports/protected_declaration_parity.csv,7,"CONTINUITY_GROUPS,de95740b95c88c8a995d47356dbf60a7db035657503b14efb58f622971a93e09,de95740b95c88c8a995d47356dbf60a7db035657503b14efb58f622971a93e09,PASS,byte-identical expression",DECLARATION_PARITY,PASS,A0070,DECLARATION_PARITY,evidence/v101125/PROTECTED_DECLARATION_PARITY.json,exact row match for CONTINUITY_GROUPS
