action_id,target_id,class,baseline_observation,source_backed_shadow_action,semantic_action,presentation_action,topology_action,authority_basis,mutation_authorized,m2_authorization,authorized_after_gates,corrected_m1_1_evidence_zip_sha256
M1-SA-001,PASSION24.TEXT.RELATED_HOUR_06.BODY.P053,SUPPRESSION_ROLE_CONFLICT,Inert suppression declares hide 122–123; active projection keeps guillemet visible.,DELETE_OR_RECLASSIFY suppression row 122–123 as stale; keep active visible guillemet and JESUS presentation unchanged.,NONE,NONE,NONE,24H quotation-role evidence: MEANINGFUL_NESTED_QUOTE_KEEP; locked outer-speaker rule.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-002,PASSION24.TEXT.RELATED_HOUR_06.BODY.P068,SUPPRESSION_ROLE_CONFLICT,Inert suppression declares hide 312–313; active projection keeps guillemet visible.,DELETE_OR_RECLASSIFY suppression row 312–313 as stale; keep active visible guillemet and JESUS presentation unchanged.,NONE,NONE,NONE,24H quotation-role evidence: MEANINGFUL_NESTED_QUOTE_KEEP; locked outer-speaker rule.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-003,PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,SEMANTIC_COVERAGE_LEXICAL_GAP,JESUS ranges stop at 128 and resume at 132; lexical word 'et' at 129–131 is uncovered; visible break at 128.,Add JESUS semantic coverage 129–131 for 'et'; merge visible JESUS presentation continuously through 0–134; remove active break 128.,ADD JESUS 129–131,JESUS continuous 0–134,REMOVE local break 128,LDC.T20.E0031 P017–P020 source-flow evidence identifies one continuing JESUS list with inline joins.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-004,PASSION24.TEXT.RELATED_HOUR_15.BODY.P096,NESTED_QUOTE_OPEN_EDGE,Text length 226; meaningful opening straight quote is final char offset 225; current JESUS presentation ends at 224.,Extend JESUS presentation through end 226 so the meaningful opening delimiter inherits JESUS display; semantic words unchanged.,NONE,EXTEND JESUS visible run to 226,NONE,T15.E0036 nested generic-soul quotation P061–P063 is inside active JESUS outer turn.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-005,PASSION24.TEXT.RELATED_HOUR_15.BODY.P097,SEMANTIC_MIRROR_DRIFT_NESTED_SOUL,Current raw SPEECH_DATA incorrectly stores JESUS 0–83 although source P061 is approved GENERIC_SOUL at quote depth 2.,Remove false raw JESUS semantic range; record nested semantic GENERIC_SOUL 0–83 via adjudication; preserve JESUS presentation 0–83.,REMOVE raw JESUS 0–83; semantic nested speaker GENERIC_SOUL 0–83,KEEP JESUS 0–83,NONE,LDC.T15.E0036.P061 source decision register + nested quotation presentation ledger.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-006,PASSION24.TEXT.RELATED_HOUR_15.BODY.P098,SEMANTIC_MIRROR_DRIFT_NESTED_SOUL,Current raw SPEECH_DATA incorrectly stores JESUS 0–61 although source P062 is approved GENERIC_SOUL at quote depth 2.,Remove false raw JESUS semantic range; record nested semantic GENERIC_SOUL 0–61 via adjudication; preserve JESUS presentation 0–61.,REMOVE raw JESUS 0–61; semantic nested speaker GENERIC_SOUL 0–61,KEEP JESUS 0–61,NONE,LDC.T15.E0036.P062 source decision register + independent parent adversary + nested presentation ledger.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-007,PASSION24.TEXT.RELATED_HOUR_15.BODY.P099,SEMANTIC_MIRROR_DRIFT_AND_NESTED_QUOTE_CLOSE_EDGE,Current raw SPEECH_DATA incorrectly stores JESUS 0–113; source P063 is GENERIC_SOUL 0–113. Closing straight quote at offset 113 is outside current JESUS presentation.,Remove false raw JESUS semantic range; record GENERIC_SOUL 0–113 via adjudication; extend JESUS presentation through 114 to include meaningful closing delimiter.,REMOVE raw JESUS 0–113; semantic nested speaker GENERIC_SOUL 0–113,EXTEND JESUS visible run to 114,NONE,LDC.T15.E0036.P063 source decision register + independent parent adversary + nested presentation ledger.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-008,PASSION24.SECTION.BENEFITS.P139,MIRROR_ALIAS_MULTI_LAYER_DIVERGENCE,"Exact-text twin of P134 still has raw JESUS 0–76, JESUS presentation only 0–76, and break 77; P134 carries source-correct GENERIC_SOUL→JESUS adjudication and no break.",Reconcile P139 to P134/source identity: remove false raw JESUS range; semantic nested GENERIC_SOUL 0–76 via adjudication; JESUS presentation 0–77 including meaningful straight quote; keep outer » hidden 77–78; remove break 77.,REMOVE raw JESUS 0–76; semantic nested speaker GENERIC_SOUL 0–76,JESUS 0–77; keep hidden outer wrapper 77–78,REMOVE local break 77,ldc_t11_1914_11_06_e001_p007 = GENERIC_SOUL; nested presentation parent JESUS; P134 already implements this model.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-009,PASSION24.TEXT.RELATED_HOUR_21.BODY.P059,STALE_LOCAL_ADJUDICATION_PROVENANCE,"Active SPEECH_DATA correctly leaves Luisa quote 108–142 non-divine, but embedded adjudication still says semantic_speaker=JESUS and 'upstream correction pending'.",Remove stale local exception/adjudication note (or rewrite as historical provenance outside active projection). Active JESUS 26–93 and Luisa prose 108–142 remain unchanged.,NONE — current active semantic coverage already correct,NONE,NONE,RA19E source correction confirms 'Je repris' segment 108–142 is LUISA.,NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
M1-SA-010,PASSION24.TEXT.RELATED_HOUR_21.BODY.P147,SEMANTIC_NESTED_PERSONIFIED_VOICE_MIRROR_DRIFT,"Runtime P147 contains the nested quoted words « Je vous aime, je vous aime. » at offsets 167–194 inside a JESUS outer presentation run 0–196; A16 identifies the inner words as PERSONIFIED_VOICE. P146 is a different paragraph and was the superseded off-by-one target in M1.","Preserve JESUS visible presentation 0–196; add nested semantic PERSONIFIED_VOICE adjudication 167–194 for “Je vous aime, je vous aime.”; do not alter canonical text.",ADD nested semantic PERSONIFIED_VOICE 167–194 via presentation adjudication; raw JESUS semantic range 0–164 remains unchanged,KEEP JESUS 0–196,NONE,"Exact A16 semantic correction LDC.T35.E0040.P023 start=167 end=194 + H21 source map: Tome35 heading=P124, source paragraph_count=55, hence source P023→runtime P147; locked outer-speaker presentation rule.",NO — M1 evidence only; M2 must freeze the exact authorised action ledger before any mutation.,AUTHORIZED_EXACT_SCOPE,"G11,G12,G13",16a654cdb89863709171d786ab66469bb8dfe4addb4b3e0a0885d669090ab3dc
