paragraph_id,break_offset,in_speech_end_map,in_topology,text_sha256,context
PASSION24.HOUR.01.P008,110,True,True,3f18d0e3e814923150ef0c6b333674dcf0622d2e9a4f1a17731920366cd09826,"es douces Paroles : « Je Te bénis, ô Fils ! » Cette bénédiction remédiera aux offenses des créatures, et, douc"
PASSION24.HOUR.01.P014,119,True,True,dddd187cb1bbb47720662ef22592c3ed22b55894449cb4072f2ab4f20900aab1,"mue qui Lui dit : « Fils, bénis-moi aussi ! » Ô Jésus, mon doux Amour, bénis-moi aussi avec ta Mère. Bénis mes"
PASSION24.HOUR.02.P014,203,True,True,c77c93d672fac44f01e58c8da08cf5cece6b1e85f3eb1507ef9ffc1dae9717bc,"Soleil, Je ressusciterai le troisième jour. » À ces propos, les apôtres sont tout tristes et ne savent que rép"
PASSION24.HOUR.02.P015,147,True,True,85b53f441a454dfa1d8de4a769df327d98d61d7517d961aabcda15f9f6869ad2,"cessaire que Je meure pour le bien de tous. » D’une Voix émue, Tu continues à les instruire. Avant de rentrer "
PASSION24.HOUR.04.P034,113,True,True,7f4652823c7fe05758d4c3deb42f62c3d90d00c74bebc6bea6b0d46e93ef7f2a,"uis, ni ne veux, laisser mes enfants seuls. » Le Père s’émeut à ces propos tendres et affectueux. Il descend d"
PASSION24.HOUR.04.P065,93,True,True,ec426871a5e90097a8b5ef3a08ff6858e27d6bba387c0a7df6da429cb4241709,"violente qui Me fait M’évanouir et délirer. » Comme je Te plains, Jésus ! Ton Amour est mis au pilori ! Moi, p"
PASSION24.HOUR.05.P028,483,True,True,981251d0cd7e2d8d6c6fd7945c6ecdd31d84cea8892c13a043c837c603a76e03,"rendras à M’aimer et à souffrir par amour ! » Mon Jésus, Tu m’appelles dans ton Cœur pour me faire voir ce que"
PASSION24.HOUR.05.REF.P005,142,True,True,87031b1fcaf655cf24f83c0c5e2e7dda8017dddb2a77aac4dee2bd8d74b9e5ab,"ceptez mon Amour et donnez-Moi de l’amour ! » Pour nous conformer en toute chose à Jésus, nous devons rentrer "
PASSION24.HOUR.06.P012,106,True,True,8428f176c5d3b2f9f2531708b23f28183f7ed9069d849270670009befa4fb4ee,"endant, non pas ma Volonté, mais la Tienne. » C’est la première fois que j’entends ces mots de ta Bouche. Comm"
PASSION24.HOUR.07.P007,165,True,True,429ce91512000e8c238fb51352f1e306e63843a56a8f64e71edadb196b16f904,"abandonnez pas en ces Heures si terribles ! » Jésus, Tu vacilles et Tu es sur le point de tomber. Alors Jean é"
PASSION24.HOUR.07.P015,147,True,True,b4787918206c53d49090f534a3e5f8d98200b30fb4b77ef2f94900f4c67452a6,". Ô Père, ne Me laisse pas sans réconfort ! » Puis il me semble entendre que Tu appelles à l’aide ta chère Mam"
PASSION24.HOUR.07.P030,22,True,True,4634f58998a2ca1644376a8cb05d01dc31e96b4540fa01a1b7eeb08600c4a4c9,"Venez, âmes, venez ! » Jésus, chacun de tes Gémissements est une blessure à mon cœur. J"
PASSION24.HOUR.07.P117,228,True,True,00e20c43e6c808401a53eefc135761653ba68719efa5848892680e06ab1396ea,"titre que J’aime toutes les âmes ensemble ! » Ô Jésus agonisant, ta Vie est sur le point de s’éteindre. J’ente"
PASSION24.HOUR.07.P125,128,True,True,277905e8051e6342d63872a475a6e71d97656f9b8e581adf13daad0b4d2e6bdf,"rts des créatures que Je ressentais en Moi. » Mon Jésus angoissé, puisque Tu as voulu porter en Toi ma mort, j"
PASSION24.HOUR.08.P007,111,True,True,defe0ee6ba0584e501ca00f7c12a98e001fd65bdcc8de6ce8b08bc98bc626147,"udas : « Mon ami, pourquoi es-tu venu ici ? » On dirait que c’est à moi aussi que Tu adresses cette Parole, no"
PASSION24.HOUR.08.P008,42,True,True,c5c6edd2c3cb979c27c8612ac78bf87b65b416228afd4ae4335f6c24bed10920,"« Mon enfant, pourquoi es-tu venue ici ? » Et je veux Te répondre : « Jésus, je viens pour T’aimer. »"
PASSION24.HOUR.08.P009,42,True,True,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b,Tu me dis : « Pourquoi es-tu venue ici ? » quand je me réveille le matin ou quand je Te prie. Tu me répètes
PASSION24.HOUR.08.P009,140,True,True,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b,"u me répètes : « Pourquoi es-tu venue ici ? » à travers la sainte Hostie, quand je viens Te recevoir dans mon "
PASSION24.HOUR.08.P010,49,True,True,7b830264a69d1efb5682e5dfff1dc86a35ff37c8000163489309fe6280950518," combien, à ton « Pourquoi es-tu venu ici ? » répondent : « Je viens pour T’offenser ! »"
