path,line,token,classification,excerpt
README.md,5,v101.121,IMMUTABLE_BASELINE_REFERENCE_ALLOWED,Immutable baseline: v101.121 / `e22782a8dd73fb54287cd13d61b3ff217c4d24f33702bd1397dc1b4df5c34d3a`.
README.md,9,v101.121,IMMUTABLE_BASELINE_REFERENCE_ALLOWED,"Protected and unchanged from v101.121: canonical corpus text, the fourteen governed declarations, Help content, speech semantics, presentation projection/adjudications, display segmentation, Samsung paragraph topology, storage schema, notes/highlights and platform-specific highlighting models."
evidence/m1_1/M1_FINAL_DECISION_LOCK.json,5,v101.110,HISTORICAL_EVIDENCE_ALLOWED,"  ""baseline_version"": ""v101.110"","
evidence/m1_1/M1_FINAL_REPORT.md,5,v101.110,HISTORICAL_EVIDENCE_ALLOWED,Immutable baseline: v101.110 (`4e204832023ff8d6d71319caf854a94bda53f148258df700b8792789597294a8`). No mutation was performed and v101.111 does not exist.
evidence/m1_1/M1_FINAL_REPORT.md,5,v101.111,HISTORICAL_EVIDENCE_ALLOWED,Immutable baseline: v101.110 (`4e204832023ff8d6d71319caf854a94bda53f148258df700b8792789597294a8`). No mutation was performed and v101.111 does not exist.
evidence/m1_1/M1_FINAL_REPORT.md,17,v101.110,HISTORICAL_EVIDENCE_ALLOWED,"A16 has one exact semantic-correction intersection with the 60 mapped 24H source entries: LDC.T35.E0040.P023, where “Je vous aime, je vous aime.” is PERSONIFIED_VOICE nested within a JESUS presentation parent. The exact v101.110 runtime target is `PASSION24.TEXT.RELATED_HOUR_21.BODY.P147`. This becomes shadow action M1-SA-010; visible JESUS presentation remains unchanged."
evidence/m1_1/M1_FINAL_REPORT.md,28,v101.110,HISTORICAL_EVIDENCE_ALLOWED,"The original M1 package SHA-256 `326502bcdb60796b59eecb0250fe3d9f9dae67f824523b0f77cc5eecdf7e59e8` is superseded for the SA-010 runtime target only. Direct v101.110 source-map reconstruction proves `LDC.T35.E0040.P023` maps to `PASSION24.TEXT.RELATED_HOUR_21.BODY.P147`, not P146. Runtime P147 contains `Je vous aime, je vous aime.` at offsets 167–194, exactly matching the A16 correction. All other M1 action rows and G1–G10 decisions are unchanged."
evidence/m2/M2_FINAL_DECISION_LOCK.json,17,v101.110,HISTORICAL_EVIDENCE_ALLOWED,"  ""baseline_version"": ""v101.110"","
evidence/m2/M2_FINAL_DECISION_LOCK.json,19,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"  ""candidate_version"": ""v101.111"","
evidence/m2/M2_FINAL_REPORT.md,15,v101.111,HISTORICAL_EVIDENCE_ALLOWED,Candidate v101.111 exists only as the M2 working candidate. No final release ZIP has been created; M3 runtime presentation and M4 final package lock remain mandatory.
evidence/m3/M3_CHROMIUM_RUNTIME_MATRIX.json,543,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"      ""evidence"": ""v101.111"""
evidence/m3/M3_CHROMIUM_RUNTIME_MATRIX.json,1064,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"      ""evidence"": ""v101.111"""
evidence/m3/M3_CHROMIUM_RUNTIME_MATRIX.json,1585,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"      ""evidence"": ""v101.111"""
evidence/m4_contract/M4_RECONSTRUCTED_G20_G22_CONTRACT.md,11,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"- APP_VERSION, `manifest.json`, `version.json`, service-worker cache generation, README and release metadata are consistent with v101.111;"
evidence/v101112/PREPACKAGE_STAGE_REPORT.md,1,v101.112,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,# v101.112 prepackage stage report
evidence/v101112/PREPACKAGE_STAGE_REPORT.md,5,v101.111,HISTORICAL_EVIDENCE_ALLOWED,Baseline: v101.111 / `7568b9a38b5c58836b88442472b5a2d99bfe596e816e0b26b063d998a8bc7b46`.
evidence/v101112/PREPACKAGE_STAGE_REPORT.md,12,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"- No affected Hour-22/H3 target occurs in `SPEECH_DATA`, `SPEECH_PRESENTATION_ADJUDICATIONS`, `SPEECH_PRESENTATION_PROJECTION` or cross-record wrapper suppressions; those declarations remain byte-identical to v101.111."
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,2,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"AUD-001,REAL_DEVICE_QA_CHECKLIST.md,ACTIVE_QA_VERSION_STALE,v101.111,v101.113 + 21 explicit external scenarios,PASS"
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,2,v101.113,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"AUD-001,REAL_DEVICE_QA_CHECKLIST.md,ACTIVE_QA_VERSION_STALE,v101.111,v101.113 + 21 explicit external scenarios,PASS"
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,3,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"AUD-002,REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,ACTIVE_QA_VERSION_STALE_AND_INCOMPLETE,2 rows at v101.111,21 rows at v101.113,PASS"
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,3,v101.113,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"AUD-002,REAL_DEVICE_QA_RESULTS_TEMPLATE.csv,ACTIVE_QA_VERSION_STALE_AND_INCOMPLETE,2 rows at v101.111,21 rows at v101.113,PASS"
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,4,v101.111,HISTORICAL_EVIDENCE_ALLOWED,"AUD-003,reports/stale_reference_scan.*,FALSE_ZERO_FAILURE_CLASSIFICATION,root QA v101.111 treated historical,root QA files treated CURRENT_FACING; no stale current version allowed,PASS"
evidence/v101113/AUDIT_REPAIR_LEDGER.csv,5,v101.112,HISTORICAL_EVIDENCE_ALLOWED,"AUD-004,audit/independent_four_pass_audit.md,UNSUPPORTED_CURRENT_FACING_CLAIM,claimed all current-facing refs were v101.112,regenerated after direct active-report line audit,PASS"
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,1,v101.113,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,# v101.113 prepackage stage report
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,5,v101.112,HISTORICAL_EVIDENCE_ALLOWED,Baseline: v101.112 / `33e32c3874cf3f26bd90b5c2ddcac959f0397dce6d75c6efc728fef2975a6eff`.
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,7,v101.111,HISTORICAL_EVIDENCE_ALLOWED,Four-pass defect corrected: the active root real-device QA checklist/results template still named v101.111 and the stale-reference scanner incorrectly classified them as historical.
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,11,v101.112,HISTORICAL_EVIDENCE_ALLOWED,All fourteen governed runtime declarations are exact byte parity with v101.112. The v101.112 H3/H22 text/display/topology repair remains unchanged.
evidence/v101113/PREPACKAGE_STAGE_REPORT.md,11,v101.112,HISTORICAL_EVIDENCE_ALLOWED,All fourteen governed runtime declarations are exact byte parity with v101.112. The v101.112 H3/H22 text/display/topology repair remains unchanged.
evidence/v101114/BROAD_CHROMIUM_RUNTIME_MATRIX.json,3,v101.114,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"  ""version"": ""v101.114"","
evidence/v101114/BROAD_CHROMIUM_RUNTIME_MATRIX.json,17,v101.114,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.114"","
evidence/v101114/BROAD_CHROMIUM_RUNTIME_MATRIX.json,132,v101.114,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.114"","
evidence/v101114/BROAD_CHROMIUM_RUNTIME_MATRIX.json,247,v101.114,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.114"","
evidence/v101114/BROAD_CHROMIUM_RUNTIME_MATRIX.json,365,v101.114,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.114"","
evidence/v101114/PREPACKAGE_STAGE_REPORT.md,1,v101.114,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,# v101.114 prepackage stage report
evidence/v101114/PREPACKAGE_STAGE_REPORT.md,5,v101.113,HISTORICAL_EVIDENCE_ALLOWED,Baseline: v101.113 / `6e5ee2053f803af57be6e82ddb85c32c29abe27862723fcde21172a3436b54ce`.
evidence/v101114/PREPACKAGE_STAGE_REPORT.md,7,v101.113,HISTORICAL_EVIDENCE_ALLOWED,"The only authorised changes are release identity/cache, current QA version metadata, active audit/report evidence and reproducibility scripts. All fourteen governed runtime declarations are exact v101.113 parity."
evidence/v101115/BROAD_CHROMIUM_RUNTIME_MATRIX.json,3,v101.115,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"  ""version"": ""v101.115"","
evidence/v101115/BROAD_CHROMIUM_RUNTIME_MATRIX.json,17,v101.115,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.115"","
evidence/v101115/BROAD_CHROMIUM_RUNTIME_MATRIX.json,132,v101.115,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.115"","
evidence/v101115/BROAD_CHROMIUM_RUNTIME_MATRIX.json,247,v101.115,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.115"","
evidence/v101115/BROAD_CHROMIUM_RUNTIME_MATRIX.json,365,v101.115,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.115"","
evidence/v101115/PREPACKAGE_STAGE_REPORT.md,1,v101.115,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,# v101.115 prepackage stage report
evidence/v101115/PREPACKAGE_STAGE_REPORT.md,5,v101.114,HISTORICAL_EVIDENCE_ALLOWED,Baseline: v101.114 / `80cba7c21fed8c0d3d43b73dc3f502e594363ccf64a23f0fb40ffb5f9f11716b`.
evidence/v101116/BROAD_CHROMIUM_RUNTIME_MATRIX.json,3,v101.116,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"  ""version"": ""v101.116"","
evidence/v101116/BROAD_CHROMIUM_RUNTIME_MATRIX.json,17,v101.116,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.116"","
evidence/v101116/BROAD_CHROMIUM_RUNTIME_MATRIX.json,132,v101.116,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.116"","
evidence/v101116/BROAD_CHROMIUM_RUNTIME_MATRIX.json,247,v101.116,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.116"","
evidence/v101116/BROAD_CHROMIUM_RUNTIME_MATRIX.json,365,v101.116,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.116"","
evidence/v101116/PREPACKAGE_STAGE_REPORT.md,1,v101.116,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,# v101.116 prepackage stage report
evidence/v101116/PREPACKAGE_STAGE_REPORT.md,5,v101.115,HISTORICAL_EVIDENCE_ALLOWED,Baseline: v101.115 / `b5fb899b032527a3fc3cee4e79bbffd25151c9974518648b295e73903d82458a`.
evidence/v101117/AUDIT_REPAIR_LEDGER.csv,2,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"AUD-117-001,metadata/scope_escalation_authority.md,STALE_RA19E2_SCOPE_WORDING,replace with current v101.117 release/evidence-only scope authority,PASS"
evidence/v101117/AUDIT_REPAIR_LEDGER.csv,4,v101.116,HISTORICAL_EVIDENCE_ALLOWED,"AUD-117-003,reports/no_regression_fix_ledger.csv,CURRENT_STAGE_REPAIR_OMITTED,record v101.116 and v101.117 evidence-integrity repairs explicitly,PASS"
evidence/v101117/AUDIT_REPAIR_LEDGER.csv,4,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"AUD-117-003,reports/no_regression_fix_ledger.csv,CURRENT_STAGE_REPAIR_OMITTED,record v101.116 and v101.117 evidence-integrity repairs explicitly,PASS"
evidence/v101117/BROAD_CHROMIUM_RUNTIME_MATRIX.json,3,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"  ""version"": ""v101.117"","
evidence/v101117/BROAD_CHROMIUM_RUNTIME_MATRIX.json,17,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.117"","
evidence/v101117/BROAD_CHROMIUM_RUNTIME_MATRIX.json,132,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.117"","
evidence/v101117/BROAD_CHROMIUM_RUNTIME_MATRIX.json,247,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.117"","
evidence/v101117/BROAD_CHROMIUM_RUNTIME_MATRIX.json,365,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.117"","
evidence/v101117/PREPACKAGE_STAGE_REPORT.md,1,v101.117,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,# v101.117 prepackage stage report
evidence/v101117/PREPACKAGE_STAGE_REPORT.md,5,v101.116,HISTORICAL_EVIDENCE_ALLOWED,Baseline: v101.116 / `2ed387c56530d58e54852e748d00aaa425513dfc626b516e53a3c4ef91d356f5`.
evidence/v101117/PREPACKAGE_STAGE_REPORT.md,7,v101.116,HISTORICAL_EVIDENCE_ALLOWED,"All fourteen governed runtime declarations remain exact baseline parity. Current semantic metadata is internally aligned to `FOUR_PASS_SEMANTIC_CURRENT_METADATA_INTEGRITY_REPAIR_R1`: `version.json.release_scope`, `metadata/scope_escalation_authority.md` and `reports/no_regression_fix_ledger.csv` explicitly represent the current stage. The independent prefreeze runner derives its evidence folder from the requested version rather than hard-coding v101.116. Broad Chromium and isolated service-worke"
evidence/v101118/AUDIT_REPAIR_LEDGER.csv,2,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"AUD-118-001,scripts/EXECUTION_SPEC.md,GENERIC_CURRENT_FACING_SPEC_STALE_V101111,archive old bytes under scripts/historical/EXECUTION_SPEC_v101111.md and write current v101.118 execution spec,PASS"
evidence/v101118/BROAD_CHROMIUM_RUNTIME_MATRIX.json,3,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"  ""version"": ""v101.118"","
evidence/v101118/BROAD_CHROMIUM_RUNTIME_MATRIX.json,17,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.118"","
evidence/v101118/BROAD_CHROMIUM_RUNTIME_MATRIX.json,132,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.118"","
evidence/v101118/BROAD_CHROMIUM_RUNTIME_MATRIX.json,247,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.118"","
evidence/v101118/BROAD_CHROMIUM_RUNTIME_MATRIX.json,365,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"        ""ver"": ""v101.118"","
evidence/v101118/PREPACKAGE_STAGE_REPORT.md,1,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,# v101.118 prepackage stage report
evidence/v101118/PREPACKAGE_STAGE_REPORT.md,5,v101.117,HISTORICAL_EVIDENCE_ALLOWED,Baseline: v101.117 / `a778b1b821c76b4450796d1b76354fa1aa26fde0c48eb492ea59eaeff3375a9e`.
evidence/v101118/PREPACKAGE_STAGE_REPORT.md,7,v101.118,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,All fourteen governed runtime declarations remain exact baseline parity. The generic `scripts/EXECUTION_SPEC.md` now identifies `v101.118` / `FOUR_PASS_GENERIC_EXECUTION_SPEC_INTEGRITY_REPAIR_R1`; the historical v101.111 RA19E.2 specification is preserved byte-for-byte at `scripts/historical/EXECUTION_SPEC_v101111.md`. Current semantic metadata remains aligned. Broad Chromium and isolated service-worker logic evidence are rerun before freeze. All active reports are finalized before the line audi
evidence/v101118/PREPACKAGE_STAGE_REPORT.md,7,v101.111,HISTORICAL_EVIDENCE_ALLOWED,All fourteen governed runtime declarations remain exact baseline parity. The generic `scripts/EXECUTION_SPEC.md` now identifies `v101.118` / `FOUR_PASS_GENERIC_EXECUTION_SPEC_INTEGRITY_REPAIR_R1`; the historical v101.111 RA19E.2 specification is preserved byte-for-byte at `scripts/historical/EXECUTION_SPEC_v101111.md`. Current semantic metadata remains aligned. Broad Chromium and isolated service-worker logic evidence are rerun before freeze. All active reports are finalized before the line audi
evidence/v101119/BROAD_CHROMIUM_RUNTIME_MATRIX.json,3,v101.119,HISTORICAL_EVIDENCE_DIRECTORY_ALLOWED,"  ""version"": ""v101.119"","
