operation_id,class,stable_id,exact_span,replacement,pre_text_sha256,post_step_text_sha256,status
OP-BEN-121-01,LDC_SYNC,PASSION24.SECTION.BENEFITS.P121,"Je ressens, sa tendresse",Je ressens sa tendresse,c37589dc4c763d8a36ac66986c1e0357c49311b37190e0a4588a3bcf5e3d90d6,bc6e3db61e02554fc9bccc241cb9c3287d5fbb92275b5f6635cd4986e135a45d,APPLIED_EXACT_SCOPE
OP-BEN-146-01,LDC_SYNC,PASSION24.SECTION.BENEFITS.P146,"Ce que le Père trouvait en Moi : Gloire, Délices, Amour, satisfactions complètes pour le Bien de tous Il le trouve en ces âmes.","Ce que le Père trouvait en Moi — Gloire, Délices, Amour, satisfactions complètes pour le Bien de tous — Il le trouve en ces âmes.",7b574e079489ccff321cc18577a44d606484f350c143f1a0ccdba3cd72c8f794,7f545029713165dafaaf330e0a32cbac0fb489217ad548e02911a2c64dd2b50a,APPLIED_EXACT_SCOPE
OP-L17-072-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_17.BODY.P072,Ce cris de mort,Ce cri de mort,d5f5d013fd9f965c4a4cc003ab4bb7419f131cc97f78e5e3ffce7e6c9e3fa642,6eae842cabed0650f1d44155dfc6e1084962fde9e2463bad0e328bc51d851d8c,APPLIED_EXACT_SCOPE
OP-L17-084-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_17.BODY.P084,Tandis que où Elle ne règne pas,Tandis que là où Elle ne règne pas,f75d379f53d811d61e2231742292438864e656f3a14e9e779e404c4c342c9afd,91e279406fbe9e122c1fbcbbe299e7bc8817f4bcccc42663aab191350e2b5b40,APPLIED_EXACT_SCOPE
OP-L17-087-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_17.BODY.P087,"C'est pourquoi, le peu de bien qu'Ils font, est laborieux, se sentant écrasés par le peu de bien accompli.",C'est pourquoi le peu de bien qu'ils font est laborieux ; ils se sentent écrasés par le peu de bien accompli.,a53d8c6a9b71ae6489e0ffe0f8b891bfd947a868bc2ad9781e3c6b71cf6473bd,753aafb82bfb6f9e49b1192f23ba9adec7edea9bf423dc8142e05b1a1035042f,APPLIED_EXACT_SCOPE
OP-L17-088-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_17.BODY.P088,la remplisse de Force,la remplit de Force,0af2b10d9b24a5cc5574af84bdea746b8b0a9b02673d775ccf340e1eac8b583c,d5c00f1c7edf8c707baa69fec99938383058f9979026644eac766c0396fc3540,APPLIED_EXACT_SCOPE
OP-L17-089-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_17.BODY.P089,"en elle, fait le Bien",en elle fait le Bien,2813007d681e198cfa3453fb98978154770938e2d950104ac97a19b15441367c,aad54007eafca2b4c474a427aa758b821f3214e2a7760f0822cd3dbe96b5e8f1,APPLIED_EXACT_SCOPE
OP-L17-097-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_17.BODY.P097,d'Amour Il me serra,"d'Amour, Il me serra",1af80786b5fc3b2d7756f7d11ef9a615748bdc2e7e34c1b7fea6046e6f9d1ce0,ff63a7c211a9496d51dc5d30075c85ebd4b634c657b7724f5fbe97c3a45c1514,APPLIED_EXACT_SCOPE
OP-L21-119-01,LDC_SYNC,PASSION24.TEXT.RELATED_HOUR_21.BODY.P119,"Et Je suis la Tête d'où proviennent tous les bienfaits qui descendent sur toutes les générations, Maintenant Je cherche des âmes qui Me ressemblent par leurs souffrances et par leurs œuvres pour les faire participer à la grande gloire et au bonheur que porte Mon Humanité. Puisque ce ne sont pas toutes les âmes qui veulent profiter de cela et qui sont vidées d'elles-mêmes et des choses de la terre, J'en cherche avec lesquelles Je puisse devenir intimes et chez lesquelles Je puisse créer la souffrance d'être privées de Ma Présence.","Et Je suis la Tête d'où proviennent tous les bienfaits qui descendent sur toutes les générations. Maintenant, Je cherche des âmes qui Me ressemblent par leurs souffrances et par leurs œuvres, pour les faire participer à la grande gloire et au bonheur que porte Mon Humanité. Puisque ce ne sont pas toutes les âmes qui veulent en profiter et qui sont vidées d'elles-mêmes et des choses de la terre, J'en cherche avec lesquelles Je puisse devenir intime et chez lesquelles Je puisse créer la souffrance d'être privées de Ma Présence.",9f313006b9d9e710517cabb83e0868f5364aeddfa019fe98f9c5de8e6b2c04a9,40a97c2242fdb6cc0d4dde47f55445a0a907fa9cd62f9490c52d479b5e5cc85e,APPLIED_EXACT_SCOPE
OP-LMARY-180-01,LDC_SYNC,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P180,"Ainsi, d'après le coût, ils puissent réaliser à quel point Je désire qu'ils l’acquissent, qu’ils puissent l'aimer, l'apprécier qu’ils aspirent à vivre dans ce Règne de Ma Volonté Suprême.""","Ainsi, à partir de ce coût, ils pourront connaître combien Je désire qu’ils l’acquièrent ; ils pourront l’apprécier, l’aimer et aspirer à entrer et à vivre dans le Règne de Ma Volonté Suprême. »",bad6a13ee89ed06b866ffe72a3f5f22dcd4138e04a36213e666ac0c62cc2dd80,1f341e7d776439ca0cba3b2f2170d578b1580ed98df82004fab8a1719d056523,APPLIED_EXACT_SCOPE
