path,line,line_text,line_type,status,evidence_type,evidence_path,evidence_detail
reports/HOUR24_PRODUCT_CONTRACT.md,1,# Hour 24 end-of-cycle product contract — v101.122,STRUCTURE,PASS,STRUCTURE,SELF:reports/HOUR24_PRODUCT_CONTRACT.md,document/table structure; no execution result asserted
reports/HOUR24_PRODUCT_CONTRACT.md,3,## Hours 1–23,STRUCTURE,PASS,STRUCTURE,SELF:reports/HOUR24_PRODUCT_CONTRACT.md,document/table structure; no execution result asserted
reports/HOUR24_PRODUCT_CONTRACT.md,4,Preserve: Réflexion et pratique · Approfondir · Revenir au début · Prier l’Heure suivante.,CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,5,No cycle-management buttons.,CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,7,## Hour 24 — Hour-level actions,STRUCTURE,PASS,STRUCTURE,SELF:reports/HOUR24_PRODUCT_CONTRACT.md,document/table structure; no execution result asserted
reports/HOUR24_PRODUCT_CONTRACT.md,8,Always show: Réflexion et pratique · Approfondir · Revenir au début.,CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,10,## Hour 24 — incomplete cycle,STRUCTURE,PASS,STRUCTURE,SELF:reports/HOUR24_PRODUCT_CONTRACT.md,document/table structure; no execution result asserted
reports/HOUR24_PRODUCT_CONTRACT.md,11,Condition: `getProgressSnapshot().complete === false`.,CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,12,"Show `VOTRE PARCOURS`, `X/24 Heures marquées comme méditées`, `Voir ma progression`, `Revoir les Heures méditées`.",CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,13,No restart/reset button and no completion claim.,CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,15,## Hour 24 — complete cycle,STRUCTURE,PASS,STRUCTURE,SELF:reports/HOUR24_PRODUCT_CONTRACT.md,document/table structure; no execution result asserted
reports/HOUR24_PRODUCT_CONTRACT.md,16,Condition: `getProgressSnapshot().complete === true`.,CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,17,"Show `LE CYCLE DES 24 HEURES EST ACCOMPLI`, `24/24 Heures marquées comme méditées`, `Recommencer depuis la 1re Heure`, `Voir ma progression`, `Revoir les Heures méditées`.",CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_PRODUCT_CONTRACT.md,19,## Completion semantics,STRUCTURE,PASS,STRUCTURE,SELF:reports/HOUR24_PRODUCT_CONTRACT.md,document/table structure; no execution result asserted
reports/HOUR24_PRODUCT_CONTRACT.md,20,Being on Hour 24 is not cycle completion. Cycle completion is exactly 24/24 explicit Méditée states. No Hour is automatically marked Méditée.,CLAIM,PASS,PRODUCT_CONTRACT,index.html::buildHourEndActions/buildHour24CyclePanel/getProgressSnapshot,implemented product contract verified by 16-state and 70-check UX matrices
reports/HOUR24_STATE_MATRIX.csv,1,"state_id,current_hour,meditated_count,complete,expected_cycle_panel,restart_visible",STRUCTURE,PASS,STRUCTURE,SELF:reports/HOUR24_STATE_MATRIX.csv,document/table structure; no execution result asserted
reports/HOUR24_STATE_MATRIX.csv,2,"P01,1-23,any,any,NONE,NO",CLAIM,PASS,STATE_MATRIX,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,canonical progress truth table exercised in S01-S09
reports/HOUR24_STATE_MATRIX.csv,3,"P02,24,0-23,false,VOTRE PARCOURS,NO",CLAIM,PASS,STATE_MATRIX,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,canonical progress truth table exercised in S01-S09
reports/HOUR24_STATE_MATRIX.csv,4,"P03,24,24,true,LE CYCLE DES 24 HEURES EST ACCOMPLI,YES",CLAIM,PASS,STATE_MATRIX,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,canonical progress truth table exercised in S01-S09
reports/hour24_end_cycle_state_matrix.csv,1,"case,status,detail",STRUCTURE,PASS,STRUCTURE,SELF:reports/hour24_end_cycle_state_matrix.csv,document/table structure; no execution result asserted
reports/hour24_end_cycle_state_matrix.csv,2,"S01,PASS,""{""""actions"""":[[""""Réflexion et pratique"""",true],[""""Approfondir"""",true],[""""Revenir au début"""",true],[""""Prier la 24e Heure"""",true]],""""progress"""":false,""""review"""":false}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S01 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,3,"S02,PASS,""{""""panel"""":""""VOTRE PARCOURS\n0/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"""",""""restart"""":false}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S02 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,4,"S03,PASS,""{""""panel"""":""""VOTRE PARCOURS\n22/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"""",""""restart"""":false}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S03 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,5,"S04,PASS,""{""""before"""":""""VOTRE PARCOURS\n23/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"""",""""after"""":""""LE CYCLE DES 24 HEURES EST ACCOMPLI\n24/24 Heures marquées comme méditées.\n↻ Recommencer depuis la 1re Heure\nVoir ma progression\nRevoir les Heures méditées"""",""""count"""":24,""""has24"""":true}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S04 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,6,"S05,PASS,""{""""before"""":""""LE CYCLE DES 24 HEURES EST ACCOMPLI\n24/24 Heures marquées comme méditées.\n↻ Recommencer depuis la 1re Heure\nVoir ma progression\nRevoir les Heures méditées"""",""""after"""":""""VOTRE PARCOURS\n23/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"""",""""count"""":23,""""has24"""":false}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S05 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,7,"S06,PASS,""{""""panel"""":""""VOTRE PARCOURS\n23/24 Heures marquées comme méditées.\nVoir ma progression\nRevoir les Heures méditées"""",""""count"""":23,""""has24"""":true,""""complete"""":false}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S06 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,8,"S07,PASS,""{""""ret"""":false,""""same"""":true,""""count"""":24,""""lastHour"""":24,""""view"""":""""home""""}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S07 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,9,"S08,PASS,""{""""ret"""":true,""""count"""":0,""""lastParas"""":0,""""hourTabs"""":0,""""log"""":0,""""currentHour"""":1,""""lastHour"""":1,""""view"""":""""reader"""",""""protectedSame"""":true}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S08 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,10,"S09,PASS,""{""""ret"""":false,""""same"""":true,""""count"""":23}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S09 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,11,"S10,PASS,""{""""tab"""":""""reflections"""",""""display"""":""""block"""",""""hash"""":""""""""}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S10 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,12,"S11,PASS,""{""""tab"""":""""linked"""",""""display"""":""""block""""}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S11 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,13,"S12,PASS,""{""""hour"""":24,""""view"""":""""reader"""",""""scroll"""":0}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S12 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,14,"S13,PASS,""{""""home"""":true,""""view"""":""""home""""}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S13 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,15,"S14,PASS,""{""""home"""":true,""""view"""":""""home""""}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S14 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,16,"S15,PASS,""{""""raw"""":true,""""has6"""":true,""""count"""":1,""""log"""":true}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S15 direct browser state-transition result
reports/hour24_end_cycle_state_matrix.csv,17,"S16,PASS,""{""""ret"""":true,""""raw"""":true,""""snapRead"""":[],""""snapLast"""":""""1"""",""""loadedCount"""":0,""""loadedLast"""":1}""",CLAIM,PASS,SCENARIO_RESULT,evidence/v101122/HOUR24_STATE_TRANSITION_MATRIX.json,S16 direct browser state-transition result
reports/build_script_vs_files_audit.md,1,# Build script vs files audit — v101.122,STRUCTURE,PASS,STRUCTURE,SELF:reports/build_script_vs_files_audit.md,document/table structure; no execution result asserted
reports/build_script_vs_files_audit.md,3,**PASS**,CLAIM,PASS,AGGREGATE,evidence/v101122/BUILD_RUNTIME_PARITY.json + evidence/v101122/PROTECTED_DECLARATION_PARITY.json,Pass-1 component evidence all PASS
reports/build_script_vs_files_audit.md,5,- Immutable baseline ZIP: `e22782a8dd73fb54287cd13d61b3ff217c4d24f33702bd1397dc1b4df5c34d3a` — verified.,CLAIM,PASS,HASH,evidence/v101122/V101121_BASELINE_FINAL_DECISION_LOCK_EXTERNAL.json,exact immutable v101.121 baseline hash and finality
reports/build_script_vs_files_audit.md,6,"- Current builder reproduces `index.html`, `luisa_24_heures.html`, `sw.js`, `version.json`, `manifest.json` and `README.md` byte-for-byte — PASS.",CLAIM,PASS,BUILD_REPRODUCTION,evidence/v101122/BUILD_RUNTIME_PARITY.json,six governed runtime/release files reproduced byte-for-byte
reports/build_script_vs_files_audit.md,7,- Candidate HTML SHA-256: `973b42bf4bc2b98ec372846ada28a54e0193a2b8ad19554906fe77cc46b99509`.,CLAIM,PASS,HASH,index.html,candidate HTML SHA-256 recomputed from current bytes
reports/build_script_vs_files_audit.md,8,- Protected declarations: 14/14 byte-identical to v101.121.,CLAIM,PASS,PARITY,evidence/v101122/PROTECTED_DECLARATION_PARITY.json,14/14 governed declarations byte-identical
reports/build_script_vs_files_audit.md,9,- `showHelp()` block: byte-identical to v101.121.,CLAIM,PASS,PARITY,evidence/v101122/HELP_PARITY.json,showHelp() block byte-identical
