authority_id,lane,record_id,epistemic_class,operation_type,current_text,current_sha256,target_text,target_sha256,edit_operations_json,evidence_source,source_authority,known_contradiction_screen,recension_sensitive,future_dependency,prior_status,recommended_action,rationale
INTERIM-LOCAL-PASSION24.HOUR.02.P001,LOCAL_24H,PASSION24.HOUR.02.P001,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Mon adorable Jésus, j’ai pris part à tes Souffrances et à celles de ta Maman dans vos dernières Étreintes. Je vois que Tu Te décides à partir pour aller là où T’appelle la Volonté du Père. Il est si grand l’Amour entre Toi et ta Mère, ta douce Reine, qu’il Vous rend inséparables.",ed91fdb0aa9bece095ad6fa349214518cda2f218c0c028526668a4e96d5e21ff,"Mon adorable Jésus, j’ai pris part à tes Souffrances et à celles de ta Maman dans vos dernières Étreintes. Je vois que Tu Te décides à partir pour aller là où T’appelle la Volonté du Père. Il est si grand, l’Amour entre Toi et ta Mère, ta douce Reine, qu’il Vous rend inséparables.",11fe5fe0dd8ba780ad610681a367b724df1714737b71bf27c2294885b3515424,"[{""op"": ""insert"", ""old_start"": 204, ""old_end"": 204, ""old_text"": """", ""new_text"": "",""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.02.P008,LOCAL_24H,PASSION24.HOUR.02.P008,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Elle est si grande sa Douleur que, tandis qu’elle veut Te dire adieu, sa Voix s’étouffe sur ses Lèvres. Elle s’évanouit presque. Et dans son tourment d’Amour, elle dit :",1bed5eb6aacd66646e589f583b079330cfacf6024cc6c9a7b24f0fa5d0667e41,"Elle est si grande, sa Douleur, que, tandis qu’elle veut Te dire adieu, sa Voix s’étouffe sur ses Lèvres. Elle s’évanouit presque. Et dans son tourment d’Amour, elle dit :",f81091c83077026cc1201205b50fd11aa9395fe7590e9a3a49870fb03f9b2188,"[{""op"": ""insert"", ""old_start"": 18, ""old_end"": 18, ""old_text"": """", ""new_text"": "",""}, {""op"": ""insert"", ""old_start"": 29, ""old_end"": 29, ""old_text"": """", ""new_text"": "",""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.04.P031,LOCAL_24H,PASSION24.HOUR.04.P031,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Vois, ô Père, que peu d’heures Me restent sur cette terre. Qui aura le cœur de laisser mes enfants orphelins et seuls ? Ils sont nombreux leurs ennemis. Elles sont épaisses les ténèbres qui les couvrent. Elle est grande leur faiblesse. Qui les aidera ?",6e983cebe13f26acd5486da4a19e2090ff310e5603d4eb43caadc32efe602912,"Vois, ô Père, que peu d’heures Me restent sur cette terre. Qui aura le cœur de laisser mes enfants orphelins et seuls ? Ils sont nombreux, leurs ennemis. Elles sont épaisses, les ténèbres qui les couvrent. Elle est grande, leur faiblesse. Qui les aidera ?",53bd70ab53e446df7ba5b3c668f1c00bf9335c2c57aaf3841b8d382ace5fda74,"[{""op"": ""insert"", ""old_start"": 137, ""old_end"": 137, ""old_text"": """", ""new_text"": "",""}, {""op"": ""insert"", ""old_start"": 172, ""old_end"": 172, ""old_text"": """", ""new_text"": "",""}, {""op"": ""insert"", ""old_start"": 219, ""old_end"": 219, ""old_text"": """", ""new_text"": "",""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.04.P073,LOCAL_24H,PASSION24.HOUR.04.P073,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Combien de fois, mon Amour, es-Tu contraint de descendre du Ciel entre des mains et dans des poitrines indignes.",844ff0b2d27fe837ea606c90602d5fd5edbee0478da05a4ead39e5bbae1445bd,"Combien de fois, mon Amour, es-Tu contraint de descendre du Ciel entre des mains et dans des poitrines indignes !",7cdee25879ad4f3b48094afafea4cf69bf1d72696e2b86886178de9a0212de35,"[{""op"": ""replace"", ""old_start"": 111, ""old_end"": 112, ""old_text"": ""."", ""new_text"": "" !""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.07.P010,LOCAL_24H,PASSION24.HOUR.07.P010,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Par conséquent : Je compatis avec Toi pour ces âmes dont les négligences, les légèretés et les offenses sont particulièrement amères à ton Cœur.",8edf9178c4b5a412c943d18431c71c91011e5df911de11dbfd45ca1b96dcce87,"Par conséquent, je compatis avec Toi pour ces âmes dont les négligences, les légèretés et les offenses sont particulièrement amères à ton Cœur.",e6dc330a13b260a44a9008a43dd60ad008f056bc1510e37bbaeb33d0661ce4be,"[{""op"": ""replace"", ""old_start"": 14, ""old_end"": 16, ""old_text"": "" :"", ""new_text"": "",""}, {""op"": ""replace"", ""old_start"": 17, ""old_end"": 18, ""old_text"": ""J"", ""new_text"": ""j""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.07.P049,LOCAL_24H,PASSION24.HOUR.07.P049,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"2. Cheminons encore et entrons dans les chambres des moribonds. Maman, quelle terreur ! Combien d’âmes sont sur le point de tomber en enfer ! Combien de gens, après une vie de péchés, donnent l’ultime douleur au Cœur de Jésus en accompagnant leur dernier souffle d’un acte de désespoir.",65ecdd472e3a0bc42a209dadc4db4561adfdf3f39fff8bc4d0b66dfa114e7ee0,"2. Cheminons encore et entrons dans les chambres des moribonds. Maman, quelle terreur ! Combien d’âmes sont sur le point de tomber en enfer ! Combien de gens, après une vie de péchés, donnent l’ultime douleur au Cœur de Jésus en accompagnant leur dernier souffle d’un acte de désespoir !",4e054f11b115715b184316b374679b5b31d7bfc767d48d741623cb908fc809eb,"[{""op"": ""replace"", ""old_start"": 285, ""old_end"": 286, ""old_text"": ""."", ""new_text"": "" !""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.07.P065,LOCAL_24H,PASSION24.HOUR.07.P065,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Par conséquent, donnons-leur le Sang de Jésus pour qu’ils trouvent en Lui la force et la grâce de ne pas tomber dans le péché.",02955a75aaffbfca90ea9a480e7efb8ecf603d58a90a753bc540585ff9127498,"Par conséquent, donnons-leur le Sang de Jésus pour qu’elles trouvent en Lui la force et la grâce de ne pas tomber dans le péché.",7cc8d108b2ede68823f29687fbf0a2e1bba68cef38b60c04dfff0a21034764e2,"[{""op"": ""replace"", ""old_start"": 54, ""old_end"": 55, ""old_text"": ""i"", ""new_text"": ""e""}, {""op"": ""insert"", ""old_start"": 56, ""old_end"": 56, ""old_text"": """", ""new_text"": ""le""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.07.P069,LOCAL_24H,PASSION24.HOUR.07.P069,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Le Ciel les regarde et pleure de douleur. La terre les regarde avec dégoût. Tous les éléments sont contre elles et voudraient les détruire, parce qu’elles sont les ennemis du Créateur.",9e7c2d43ce4ad685803ecf300f691dd7946ae0d5db515378b01a81527839c718,"Le Ciel les regarde et pleure de douleur. La terre les regarde avec dégoût. Tous les éléments sont contre elles et voudraient les détruire, parce qu’elles sont les ennemies du Créateur.",223d8c2a86ce517e21023a0c0b32e8fe92d8552424cea1fffc8b2c5ce9a7d81f,"[{""op"": ""insert"", ""old_start"": 170, ""old_end"": 170, ""old_text"": """", ""new_text"": ""e""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.07.P081,LOCAL_24H,PASSION24.HOUR.07.P081,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Combien de douleurs Jésus ne ressent-Il pas dans ces régions. Lui qui est la Vie de tous, n’a en retour pas même un petit acte d’amour de ces âmes. Il n’est pas connu de ses propres créatures. De grâce, Maman, donnons-leur ce Sang, afin qu’Il mette en fuite les ténèbres de l’ignorance et de l’hérésie.",43eb6ab7c5df99e0aca3f0208c7234667b9339740626868d182bd1d82b3a904e,"Combien de douleurs Jésus ne ressent-Il pas dans ces régions ! Lui qui est la Vie de tous, n’a en retour pas même un petit acte d’amour de ces âmes. Il n’est pas connu de ses propres créatures. De grâce, Maman, donnons-leur ce Sang, afin qu’Il mette en fuite les ténèbres de l’ignorance et de l’hérésie.",b26a9a4b37924555a3410a5b8385e85296333d355e7bd5994aaaa00df4e4494d,"[{""op"": ""replace"", ""old_start"": 60, ""old_end"": 61, ""old_text"": ""."", ""new_text"": "" !""}]",NATIVE_24H_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
INTERIM-LOCAL-PASSION24.HOUR.07.P115,LOCAL_24H,PASSION24.HOUR.07.P115,A_RECENSION_INVARIANT_CLOSED,REPLACE_TEXT_SPAN,"Je vois que Jésus ne cherche pas tellement la lumière, les étoiles, les fleurs, les oiseaux. Il veut des âmes, des âmes ! Mon doux Bien, ta chère Maman est tout près de Toi. Repose-Toi entre ses Bras. Elle sera réconfortée elle aussi en Te pressant sur son Sein. Parce qu’elle a pris grande part à ta douloureuse Agonie.",a7f0f281de8b98e96d9a629603a283013850deb12390f407025a44320b121284,"Je vois que Jésus ne cherche pas tellement la lumière, les étoiles, les fleurs, les oiseaux. Il veut des âmes, des âmes ! Mon doux Bien, ta chère Maman est tout près de Toi. Repose-Toi entre ses Bras. Elle sera réconfortée elle aussi en Te pressant sur son Sein, parce qu’elle a pris grande part à ta douloureuse Agonie.",1087430f42bae9afa9d9509f1bfa5cc092e25ab773f23d8bd239c242d1febeb9,"[{""op"": ""replace"", ""old_start"": 261, ""old_end"": 262, ""old_text"": ""."", ""new_text"": "",""}, {""op"": ""replace"", ""old_start"": 263, ""old_end"": 264, ""old_text"": ""P"", ""new_text"": ""p""}]",SAMPLE20_RESIDUAL_TERMINAL_WORKING.csv,,PASS,False,NONE_KNOWN,PRE_MUTATION_OPERATION_FROZEN,INCLUDE_IN_INTERIM_SUCCESSOR_AFTER_EXPLICIT_AUTHORIZATION,Closed local French/punctuation/case/syntax repair in native 24H; no overlap with upstream LDC lane; no known recension dependency.
