action_id,target,class,before,after,presentation_action,status
UC-001,PASSION24.HOUR.03.P005,DUPLICATE_TEXT_REGRESSION,"Tu T’affliges à cause de Judas. En même temps, ton Cœur s’emplit de joie à voir à ta gauche ton disciple bien-aimé, Jean, au point que, ne pouvant plus contenir ton débordement d’Amour, Tu l’attires doucement vers Toi, Tu lui fais poser la tête sur ton Cœur et Tu lui fais éprouver d’avance le Paradis. Et à cette heure solennelle, deux de tes disciples représentent deux mondes : celui des réprouvés et celui des élus. Le monde des réprouvés est représenté par Judas, qui a déjà l’enfer au cœur. Le monde des élus est représenté par Jean, qui se repose sur ton Cœur dans la joie.","Tu T’affliges à cause de Judas. En même temps, ton Cœur s’emplit de joie à voir à ta gauche ton disciple bien-aimé, Jean, au point que, ne pouvant plus contenir ton débordement d’Amour, Tu l’attires doucement vers Toi, Tu lui fais poser la tête sur ton Cœur et Tu lui fais éprouver d’avance le Paradis. Et à cette heure solennelle, deux de tes disciples représentent deux mondes : celui des réprouvés et celui des élus.",P006 retained unchanged; P005 display end reprojected,PASS
UC-002,PASSION24.HOUR.22.P048,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"« Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à tes beaux Yeux encore baignés de Larmes et tout couverts de Sang coagulé.","« Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à tes beaux Yeux encore baignés de Larmes et tout couverts de Sang coagulé.",add full stop; split visible paragraph at offset 50; Samsung topology same offset,PASS
UC-003,PASSION24.HOUR.22.P050,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"Je Te promets que chaque fois que mes yeux seront portés à s’arrêter aux choses de la terre, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à tes Oreilles infiniment sacrées, accablées par tant d’insultes et d’horribles blasphèmes. Je Te demande pardon pour toutes les fois que j’ai écouté ou j’ai fait écouter des paroles qui éloignent de Toi.","Je Te promets que chaque fois que mes yeux seront portés à s’arrêter aux choses de la terre, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à tes Oreilles infiniment sacrées, accablées par tant d’insultes et d’horribles blasphèmes. Je Te demande pardon pour toutes les fois que j’ai écouté ou j’ai fait écouter des paroles qui éloignent de Toi.",add full stop; split visible paragraph at offset 170; Samsung topology same offset,PASS
UC-004,PASSION24.HOUR.22.P052,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"Je Te promets que chaque fois que je me trouverai dans l’occasion d’entendre des conversations inconvenantes, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à ton Visage infiniment saint, livide et ensanglanté.","Je Te promets que chaque fois que je me trouverai dans l’occasion d’entendre des conversations inconvenantes, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à ton Visage infiniment saint, livide et ensanglanté.",add full stop; split visible paragraph at offset 187; Samsung topology same offset,PASS
UC-005,PASSION24.HOUR.22.P054,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"Je Te promets que chaque fois que me viendra la tentation de ne pas Te donner toute la gloire, l’amour et l’adoration qui Te sont dus, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à ta Bouche infiniment sacrée, desséchée et remplie d’amertume.","Je Te promets que chaque fois que me viendra la tentation de ne pas Te donner toute la gloire, l’amour et l’adoration qui Te sont dus, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à ta Bouche infiniment sacrée, desséchée et remplie d’amertume.",add full stop; split visible paragraph at offset 212; Samsung topology same offset,PASS
UC-006,PASSION24.HOUR.22.P056,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"Je promets que chaque fois que me viendra la pensée d’entretenir des conversations qui pourraient T’offenser, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à ton Cou infiniment saint, où je vois encore les marques des chaînes et des cordes qui T’ont tyrannisé.","Je promets que chaque fois que me viendra la pensée d’entretenir des conversations qui pourraient T’offenser, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à ton Cou infiniment saint, où je vois encore les marques des chaînes et des cordes qui T’ont tyrannisé.",add full stop; split visible paragraph at offset 187; Samsung topology same offset,PASS
UC-007,PASSION24.HOUR.22.P059,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"« Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à tes Épaules infiniment saintes.","« Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à tes Épaules infiniment saintes.",add full stop; split visible paragraph at offset 50; Samsung topology same offset,PASS
UC-008,PASSION24.HOUR.22.P061,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"Je Te promets que chaque fois que me viendra la pensée de me procurer des plaisirs ou satisfactions qui ne soient pas pour ta Gloire, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à ta Poitrine infiniment sainte.","Je Te promets que chaque fois que me viendra la pensée de me procurer des plaisirs ou satisfactions qui ne soient pas pour ta Gloire, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à ta Poitrine infiniment sainte.",add full stop; split visible paragraph at offset 211; Samsung topology same offset,PASS
UC-009,PASSION24.HOUR.22.P063,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"Je Te promets que chaque fois que je sentirai se refroidir mon amour pour Toi, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à tes Mains infiniment sacrées.","Je Te promets que chaque fois que je sentirai se refroidir mon amour pour Toi, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à tes Mains infiniment sacrées.",add full stop; split visible paragraph at offset 156; Samsung topology same offset,PASS
UC-010,PASSION24.HOUR.22.P065,PUNCTUATION_AND_VISIBLE_PARAGRAPH_STRUCTURE,"Je Te promets que chaque fois que me viendra la pensée de ne pas agir seulement par amour pour Toi, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! » Jésus, je donne un baiser à tes Pieds infiniment saints.","Je Te promets que chaque fois que me viendra la pensée de ne pas agir seulement par amour pour Toi, je crierai immédiatement : « Jésus et Marie, je Vous recommande mon âme ! ». Jésus, je donne un baiser à tes Pieds infiniment saints.",add full stop; split visible paragraph at offset 177; Samsung topology same offset,PASS
