paragraph_id,break_offset,active_in_projection,active_in_topology,text_sha256
PASSION24.HOUR.01.P008,110,True,True,3f18d0e3e814923150ef0c6b333674dcf0622d2e9a4f1a17731920366cd09826
PASSION24.HOUR.01.P014,119,True,True,dddd187cb1bbb47720662ef22592c3ed22b55894449cb4072f2ab4f20900aab1
PASSION24.HOUR.02.P014,203,True,True,c77c93d672fac44f01e58c8da08cf5cece6b1e85f3eb1507ef9ffc1dae9717bc
PASSION24.HOUR.02.P015,147,True,True,85b53f441a454dfa1d8de4a769df327d98d61d7517d961aabcda15f9f6869ad2
PASSION24.HOUR.04.P034,113,True,True,7f4652823c7fe05758d4c3deb42f62c3d90d00c74bebc6bea6b0d46e93ef7f2a
PASSION24.HOUR.04.P065,93,True,True,ec426871a5e90097a8b5ef3a08ff6858e27d6bba387c0a7df6da429cb4241709
PASSION24.HOUR.05.P028,483,True,True,981251d0cd7e2d8d6c6fd7945c6ecdd31d84cea8892c13a043c837c603a76e03
PASSION24.HOUR.05.REF.P005,142,True,True,87031b1fcaf655cf24f83c0c5e2e7dda8017dddb2a77aac4dee2bd8d74b9e5ab
PASSION24.HOUR.06.P012,106,True,True,8428f176c5d3b2f9f2531708b23f28183f7ed9069d849270670009befa4fb4ee
PASSION24.HOUR.07.P007,165,True,True,429ce91512000e8c238fb51352f1e306e63843a56a8f64e71edadb196b16f904
PASSION24.HOUR.07.P015,147,True,True,b4787918206c53d49090f534a3e5f8d98200b30fb4b77ef2f94900f4c67452a6
PASSION24.HOUR.07.P030,22,True,True,4634f58998a2ca1644376a8cb05d01dc31e96b4540fa01a1b7eeb08600c4a4c9
PASSION24.HOUR.07.P117,228,True,True,00e20c43e6c808401a53eefc135761653ba68719efa5848892680e06ab1396ea
PASSION24.HOUR.07.P125,128,True,True,277905e8051e6342d63872a475a6e71d97656f9b8e581adf13daad0b4d2e6bdf
PASSION24.HOUR.08.P007,111,True,True,defe0ee6ba0584e501ca00f7c12a98e001fd65bdcc8de6ce8b08bc98bc626147
PASSION24.HOUR.08.P008,42,True,True,c5c6edd2c3cb979c27c8612ac78bf87b65b416228afd4ae4335f6c24bed10920
PASSION24.HOUR.08.P009,42,True,True,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b
PASSION24.HOUR.08.P009,140,True,True,840d2a04d5614d1f5e0eab3d41e237aec1f00c982b89c5cb590f3a979b11d23b
PASSION24.HOUR.08.P010,49,True,True,7b830264a69d1efb5682e5dfff1dc86a35ff37c8000163489309fe6280950518
PASSION24.HOUR.08.P014,34,True,True,74bd1faae3bdbdaa45b8c65b75a113bc02ba81821b8903f28350c8c931555ee5
PASSION24.HOUR.08.P015,50,True,True,0e8e25ba179b80db3015404fdc30bbeda72ac9d5710f67750d4468b27e4e1506
PASSION24.HOUR.09.P010,147,True,True,0eff0c7e558d2dd5c679da7ac7e3b9e3db060a824c6ca1705cb32c65c1e83ebe
PASSION24.HOUR.10.P002,206,True,True,8693e4f039b62d7bbfeffcc5c2dc4e37512184a6e4db7fbffa482a8843993b35
PASSION24.HOUR.11.P010,141,True,True,03748084ad481a333bb73fba4edf9d706a36d29b6a6898be656c4e342f9ea5ce
PASSION24.HOUR.11.P021,251,True,True,a6762f6245c19d99c3d520afa0563f45b2c0f5645b86da76b5a8bcbc4e118a74
PASSION24.HOUR.11.P030,126,True,True,428cebcfe9048cf1bf025e341d938e882e5f9e8198fd33bc23a8185508c3ed8c
PASSION24.HOUR.13.P005,147,True,True,a0e6d29206019aae50560efe0eeb3cb912c467a6f54555e7dad2fce6fe204bef
PASSION24.HOUR.15.P005,162,True,True,1fe7971777119b2d85e26afa8216a2231531c0b31ca409479224af3c289a4642
PASSION24.HOUR.16.P015,103,True,True,931b222d6046ed3b0f46fad9efda0d19fe435f9fc18b9a7584c4290cee10cf1f
PASSION24.HOUR.16.P028,76,True,True,587bfb1c0a6d2bf5885a6df287a9d1e209c2114dda005960440fe42202eb61ea
PASSION24.HOUR.16.P045,193,True,True,1f73884e661135a36c0a718ff48463c47ce393b61b6992adfce0922654cfdc5b
PASSION24.HOUR.17.P014,47,True,True,43ee151361e8da9e3f111010c2d6a7593c9f8fd186d831a4d9d4d40c455c2d58
PASSION24.HOUR.17.P027,155,True,True,0f4c182dace3c23c18bdd30ab9501bcb7b386d08d52a7da1783da27379314d7e
PASSION24.HOUR.17.P044,293,True,True,869646265b0de1edb6f2d546b46cb2d40350174de196dbf8071d9a1d625e2fc8
PASSION24.HOUR.18.P002,61,True,True,fa98377ab931e85708e829ea8ef54486dcbd089e3b78c1e5b3d50e2a5473b03b
PASSION24.HOUR.18.P031,156,True,True,cab11dcd32a14a026be338b346679636e6f34ba5753e7927f0938690916b343f
PASSION24.HOUR.18.P113,148,True,True,cb4b37cbd6dedf7076f2bf3d846746085161caa027dc233a6577133b8fdae357
PASSION24.HOUR.19.P018,95,True,True,52eb8baa16a1bc6b09855b603038e76a0c8f5e64939e8e0427cb0944cc5ee541
PASSION24.HOUR.19.P126,145,True,True,59fd3c15dea84b0c07649f2b9217e8f0245990670767e842891fc56234f59930
PASSION24.HOUR.19.P137,119,True,True,35229feb7a00d6db2836a7aef77e8607ce78b3777ead92853d7ce41136ead797
PASSION24.HOUR.19.P165,150,True,True,6ba1e33250ef2d57dcbccfeefa285ce1fa276c49413273b400b492b198c7f4cc
PASSION24.HOUR.20.P010,63,True,True,a9e4c2c95dc592a31ac7a4eccd86324863e7d3c479e2dbf2051795623d03f657
PASSION24.HOUR.21.P020,69,True,True,052a0cbd283fcc77c9daf86d45bfda1b4ff7f1adf4cfe22f0c3a498ae828e832
PASSION24.HOUR.21.P023,137,True,True,cfd323fd3ba0dee71cfaeced5d39d7b952e8eab8bb9a70e77dfa1eb80f1c27a5
PASSION24.HOUR.21.P025,118,True,True,4f17e7481c78ea22cd59796b4e66c063b6db0e0e8cf9ef5ec12759c6d2de3d70
PASSION24.HOUR.21.P027,216,True,True,76138a89389e9f6dbed5406a7b8f8adc2f3c6f44db3a3758f81310d50242557e
PASSION24.HOUR.21.P068,86,True,True,d4dea4d9c20e2b2cec80528c3929973574abe435d4315b233d3cb2db7c3af613
PASSION24.HOUR.22.P006,160,True,True,4d8a62b88b431940e9534e919efcf8d829fcfa97c22c5ed59003a8e5fc64a727
PASSION24.HOUR.22.P022,23,True,True,4c0b8a36dcc295d5e9d25509a74b5f28a74540d4701d710fe7a2b7ddedf54ada
PASSION24.HOUR.22.REF.P001,237,True,True,aef902b37929a0c9da331e540ea8864c8446a769e0dee04ac844c692cf992b1a
PASSION24.HOUR.24.DESOL.P014,119,True,True,b48fa53340ab3e134d64de89c61075aa79ceab49ad4d41f48267ebe4f1b4ee91
PASSION24.HOUR.24.DESOL.P027,79,True,True,4a1e4cbe49f3b893fd71fd11420a5f8fb767b35f3235ccabae6146cb67b77084
PASSION24.HOUR.24.DESOL.P037,62,True,True,d2e153515dc6a4b42ffab8aee6cffba2d114db860020c964260620e20f68f5c3
PASSION24.SECTION.BENEFITS.P102,195,True,True,e8cf7c9532d011ddcdb3e325a8c00c4e62277f85292bcc363554f92f0f6d16a2
PASSION24.SECTION.BENEFITS.P116,217,True,True,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb
PASSION24.SECTION.BENEFITS.P122,78,True,True,618de3968214a522b2eb4060fe2bf1c5d72f9e062284c294c867f52b4cbe8921
PASSION24.SECTION.BENEFITS.P136,157,True,True,cb98d783303cb8bebf4ca989ab4b87890bf82f6d59867fddf1d94012c24029fc
PASSION24.SECTION.BENEFITS.P139,77,False,False,035a8a790e28426be438e7cfddde95c28c42b5a036d2d63f3f5d8c4a9b6860e2
PASSION24.SECTION.BENEFITS.P149,140,True,True,7a34ae5d5b22108be211dfb67e771e3f786d2bb77945ad491ba9b6fe91356c2a
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P057,78,True,True,11fadb1c9becbd9fd8f76160ceeffaa2929af280bbbf6f0b916618ff8166a354
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P069,60,False,False,70aeea302df7fb63f894fb7c8780d9438a111080c5cca40b481e16814a6b51ba
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P069,70,False,False,70aeea302df7fb63f894fb7c8780d9438a111080c5cca40b481e16814a6b51ba
PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P100,40,True,True,855d46aaedc6eb18b2697774946e7879c4a2991e7e1568a6895a17b329d2c88a
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P097,195,True,True,e8cf7c9532d011ddcdb3e325a8c00c4e62277f85292bcc363554f92f0f6d16a2
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P111,217,True,True,b3ed347dba153e5287b4f32298a8692059f6ee73c490cfff16865f542ff705eb
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P117,78,True,True,618de3968214a522b2eb4060fe2bf1c5d72f9e062284c294c867f52b4cbe8921
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P131,157,True,True,cb98d783303cb8bebf4ca989ab4b87890bf82f6d59867fddf1d94012c24029fc
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P134,77,False,False,035a8a790e28426be438e7cfddde95c28c42b5a036d2d63f3f5d8c4a9b6860e2
PASSION24.TEXT.PROMISES_BENEFITS.BODY.P144,140,True,True,7a34ae5d5b22108be211dfb67e771e3f786d2bb77945ad491ba9b6fe91356c2a
PASSION24.TEXT.RELATED_HOUR_01.BODY.P047,317,True,True,07637a43ae3504ce9f3b84b5787946729fd33f34d85ca691a31534576e681c6e
PASSION24.TEXT.RELATED_HOUR_06.BODY.P011,69,True,True,df3bce6bc5fa308672f83c9482ee095481e57ba5a4d46bc4947c426127183721
PASSION24.TEXT.RELATED_HOUR_06.BODY.P033,111,True,True,27b35e712ada929b78118297d7fc554dba14fda1b6318572e41c700e353ae58a
PASSION24.TEXT.RELATED_HOUR_06.BODY.P036,121,True,True,1f62146d2298f27729892e391de327598b75e862d1955694f2894e2462c263b4
PASSION24.TEXT.RELATED_HOUR_06.BODY.P043,49,True,True,a167c4cea985eb13e6aa55d60d9c022b26b8a3613f1d7b053339544aa694186e
PASSION24.TEXT.RELATED_HOUR_06.BODY.P047,58,False,False,06deb5a7ab6b98153c88bbc5cd2315671fa3f04c61ba932fd63ad972918a8759
PASSION24.TEXT.RELATED_HOUR_06.BODY.P051,210,False,False,6c5c08858554e91bf605a24054e5db264ac7eac3439b61c826adc0066bfa6006
PASSION24.TEXT.RELATED_HOUR_06.BODY.P051,259,False,False,6c5c08858554e91bf605a24054e5db264ac7eac3439b61c826adc0066bfa6006
PASSION24.TEXT.RELATED_HOUR_06.BODY.P053,121,False,False,3fbf0b133783c54ebb32b8b07499dbdaf6e2347d81058a12f796d7e7e844efbd
PASSION24.TEXT.RELATED_HOUR_06.BODY.P054,35,False,False,82ee3cdbb25bbb682da498bd7a0bc882e7cb4bfdb32ff94a35ea45262afb2029
PASSION24.TEXT.RELATED_HOUR_06.BODY.P058,49,True,True,f4df240dd916ae9db6393948d8bf4c6b4d3d55599473d51688697d462725c435
PASSION24.TEXT.RELATED_HOUR_06.BODY.P068,311,False,False,61ae3bbee9575c68d2ce816ee814133612411a8d5cd02a6c3bbfb888def80f8e
PASSION24.TEXT.RELATED_HOUR_07.BODY.P036,43,True,True,a75c135d1ac345599a8d6b115c1e8e80b0e9b23550e12183941fd2d116ddd210
PASSION24.TEXT.RELATED_HOUR_10.BODY.P009,268,True,True,c6748a7f3849a3d7058319b333cc0c038a0e257c46a192a2224a5e052e7f96e6
PASSION24.TEXT.RELATED_HOUR_13.BODY.P013,162,True,True,850228d7801c4357cbd34d667ad142e7fd34f9379bdec35cb28caba81e16fc35
PASSION24.TEXT.RELATED_HOUR_13.BODY.P039,422,True,True,f53aa0754a18226ee45179be9733f5597d5b08b314bccfdfb4dbf623b4f1d713
PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,128,False,False,1b0bcb7b53e6b2502cacfb73ce7300f26b164a4551178557c1005bf0438446a0
PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,37,False,False,242675c600f2739ee2a199c95fa12606312ea3a1a5e9bf432111c9b48a712d9e
PASSION24.TEXT.RELATED_HOUR_14.BODY.P019,66,True,True,9e29d7a86ff3b99930b7292a89a119d4dcaf05db4d11fdf8449ad57ceb5a6316
PASSION24.TEXT.RELATED_HOUR_15.BODY.P109,426,True,True,14a5272c9efcfc0868a3374b0d78a77656e2d4e972cb750fed3df50efbf35865
PASSION24.TEXT.RELATED_HOUR_15.BODY.P174,33,False,False,535b6a3d731fe9a1023396430cc05d1f81e15af451271993ac7d22e0d01341cd
PASSION24.TEXT.RELATED_HOUR_16.BODY.P047,140,True,True,ddb5c717e12022cc404c402303ca04a0713eb84d33134bfd6dfccd74047ce612
PASSION24.TEXT.RELATED_HOUR_16.BODY.P096,250,True,True,3a7f439a0c61b604fde0482b742edab436bb676e4e68e92e8b81b2872f594f26
PASSION24.TEXT.RELATED_HOUR_17.BODY.P032,102,True,True,bb75e4e26bde7765cd903c29f131c1d35fffc9c9668505fe1ed73c854bca7890
PASSION24.TEXT.RELATED_HOUR_17.BODY.P050,51,True,True,b1556570f59acc497580c0ec527319b62fb9bc334f142cf20f7fe3ee92cab6e4
PASSION24.TEXT.RELATED_HOUR_17.BODY.P051,90,True,True,b685d871c1b8ebb60562d3f7e53aa46978f4a68429007c2a0482cf93359c5082
PASSION24.TEXT.RELATED_HOUR_17.BODY.P054,203,True,True,42d912e4cd5e106c63110b57aadab222f9359afdcab144b8de04701748d19e81
PASSION24.TEXT.RELATED_HOUR_17.BODY.P057,95,True,True,ca2df7f69551cbbe7ab9ab2a0de7bdd3049e1a959ef38c28e2613a55e2198034
PASSION24.TEXT.RELATED_HOUR_17.BODY.P058,50,True,True,cd60b2ae15588ce08032d6162959ed7a01568206d3154ef5c2fa960aff0d972e
