active_in_projection,active_in_topology,break_offset,classification,paragraph_id,reason,text_sha256
False,False,77,INACTIVE_SUPERSEDED,PASSION24.SECTION.BENEFITS.P139,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",035a8a790e28426be438e7cfddde95c28c42b5a036d2d63f3f5d8c4a9b6860e2
False,False,60,INACTIVE_SUPERSEDED,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P069,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",70aeea302df7fb63f894fb7c8780d9438a111080c5cca40b481e16814a6b51ba
False,False,70,INACTIVE_SUPERSEDED,PASSION24.TEXT.PART_III_MARY_SORROWS.BODY.P069,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",70aeea302df7fb63f894fb7c8780d9438a111080c5cca40b481e16814a6b51ba
False,False,77,INACTIVE_SUPERSEDED,PASSION24.TEXT.PROMISES_BENEFITS.BODY.P134,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",035a8a790e28426be438e7cfddde95c28c42b5a036d2d63f3f5d8c4a9b6860e2
False,False,58,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_06.BODY.P047,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",06deb5a7ab6b98153c88bbc5cd2315671fa3f04c61ba932fd63ad972918a8759
False,False,210,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_06.BODY.P051,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",6c5c08858554e91bf605a24054e5db264ac7eac3439b61c826adc0066bfa6006
False,False,259,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_06.BODY.P051,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",6c5c08858554e91bf605a24054e5db264ac7eac3439b61c826adc0066bfa6006
False,False,121,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_06.BODY.P053,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",3fbf0b133783c54ebb32b8b07499dbdaf6e2347d81058a12f796d7e7e844efbd
False,False,35,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_06.BODY.P054,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",82ee3cdbb25bbb682da498bd7a0bc882e7cb4bfdb32ff94a35ea45262afb2029
False,False,311,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_06.BODY.P068,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",61ae3bbee9575c68d2ce816ee814133612411a8d5cd02a6c3bbfb888def80f8e
False,False,128,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_13.BODY.P056,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",1b0bcb7b53e6b2502cacfb73ce7300f26b164a4551178557c1005bf0438446a0
False,False,37,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_13.BODY.P138,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",242675c600f2739ee2a199c95fa12606312ea3a1a5e9bf432111c9b48a712d9e
False,False,33,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_15.BODY.P174,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",535b6a3d731fe9a1023396430cc05d1f81e15af451271993ac7d22e0d01341cd
False,False,41,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_17.BODY.P067,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",32df1e175acc59d9168f9db974763a6b3f7191dd87ac92edb3bb3f1cf52a95d7
False,False,78,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_17.BODY.P067,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",32df1e175acc59d9168f9db974763a6b3f7191dd87ac92edb3bb3f1cf52a95d7
False,False,53,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_17.BODY.P073,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",70e33876c8f3932f34f7140d7d53b70ff347a5a0825dd92586c5eca9e5fe9f5d
False,False,67,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_17.BODY.P073,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",70e33876c8f3932f34f7140d7d53b70ff347a5a0825dd92586c5eca9e5fe9f5d
False,False,164,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_21.BODY.P147,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",0129f87bc65683396ece440cd0118ad94297b5c8e439fee8db8b5fc24721b088
False,False,170,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_21.BODY.P169,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",76f6150e6dea997fb1df36050f85f3a8b1d2eea3af09374dd4d41bc9074ea85f
False,False,96,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_21.BODY.P170,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",fd1d3076dcb5339d4ecedcdde3a26b839a3f57eed90ec86207926b988d8bd340
False,False,146,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
False,False,165,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
False,False,209,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
False,False,321,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P063,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",39cf656d353eaaf832358d4d90f6e5fea1ea351fd7fe179a15306cd41134494a
False,False,169,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P064,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",cc996376d49db8dffd204034e7944435e220e455c19f6cff4f43f25315bb06d2
False,False,70,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P065,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",579daa54a60c77ff72f03aa2d964b2bb3ea68d792547ce0f550161ee4782705c
False,False,84,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P065,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",579daa54a60c77ff72f03aa2d964b2bb3ea68d792547ce0f550161ee4782705c
False,False,8,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P072,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",9fa9ac17f2598e79c4835cfdfde675c50ca1c4c51af441ab6bcbeca2c43c0ec7
False,False,26,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P076,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",ddcd98c1466f027347ba2b693a18e39a1c7b6bfb09cb50afea707af63fa217aa
False,True,215,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P090,Not active in rendered speech projection; retained in separate visible-topology authority. No mutation under this class.,3693302b180b912bd98a9a6cbf63dcf199d571e124ed2b8bfc3daef6bd9108e0
False,False,111,INACTIVE_SUPERSEDED,PASSION24.TEXT.RELATED_HOUR_22.BODY.P094,"Raw speech-end candidate not active in current rendered projection or visible topology; retained as historical/superseded metadata, not mutation authority.",e9f54c5be784b8f0e856466b6f52019555161913c76619d8523b846049f3497e
