candidate_id,r5_record_id,hour,layer,current_text,italian_r3_source,italian_r3_anchor,classification,operation,proposed_french,decision_basis,corroborating_controls,confidence,h23_h24_recension_boundary_flag,second_review,notes,aflp27_status,aflp27_evidence,aflp27_source,r4_operation,r4_proposed_french,final_status,final_operation,final_proposed_french,r4_to_final_change,adversarial_rationale,preservation_requirement
C0001,PASSION24.HOUR.01.P005,1,MEDITATION,"Me dédaigneras-tu ? N’est-ce pas plutôt un réconfort pour ton Cœur d’avoir une âme unie à toi pour partager tes Afflictions et tes Réparations ! Ô Jésus, en cette heure si navrante pour ton Cœur infiniment tendre, quel Enseignement nous donnes-Tu d’obéissance filiale et amoureuse à ta Maman !",H01_MEDITATION,"le pene, gli affetti, le riparazioni",OMISSION,REPLACE_RECORD,"Me dédaigneras-tu ? N’est-ce pas plutôt un réconfort pour ton Cœur d’avoir une âme unie à toi pour partager tes Afflictions, tes Affections et tes Réparations ! Ô Jésus, en cette heure si navrante pour ton Cœur infiniment tendre, quel Enseignement nous donnes-Tu d’obéissance filiale et amoureuse à ta Maman !",Italian R3 explicitly has pene + affetti + riparazioni.,AFLP-27 H01 available; consistent with fuller triad.; AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,PARTIAL_CORROBORATION,AFLP-27 preserves a three-part list at the locus but renders Italian « affetti » as « douleurs »; the exact lexical correction continues to rest on governing Italian R3.,AFLP27_H01_H05,REPLACE_RECORD,"Me dédaigneras-tu ? N’est-ce pas plutôt un réconfort pour ton Cœur d’avoir une âme unie à toi pour partager tes Afflictions, tes Affections et tes Réparations ! Ô Jésus, en cette heure si navrante pour ton Cœur infiniment tendre, quel Enseignement nous donnes-Tu d’obéissance filiale et amoureuse à ta Maman !",ACCEPT_FOR_AUTHORIZATION,REPLACE_RECORD,"Me dédaigneras-tu ? N’est-ce pas plutôt un réconfort pour ton Cœur d’avoir une âme unie à toi pour partager tes Afflictions, tes Affections et tes Réparations ! Ô Jésus, en cette heure si navrante pour ton Cœur infiniment tendre, quel Enseignement nous donnes-Tu d’obéissance filiale et amoureuse à ta Maman !",UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,NONE_BEYOND_NORMAL_AUDIT_EVIDENCE
C0002,PASSION24.HOUR.01.P013,1,MEDITATION,"Toutes ces bénédictions, tu les offres à Jésus en réparation des blasphèmes qu’Il reçoit des créatures.",H01_MEDITATION,bestemmie e maledizioni,OMISSION,REPLACE_RECORD,"Toutes ces bénédictions, tu les offres à Jésus en réparation des blasphèmes et des malédictions qu’Il reçoit des créatures.",Italian R3 explicitly includes both blasphemies and curses.,AFLP-27 H01 corroborative.; AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES,AFLP-27 explicitly reads « blasphèmes et les malédictions ».,AFLP27_H01_H05,REPLACE_RECORD,"Toutes ces bénédictions, tu les offres à Jésus en réparation des blasphèmes et des malédictions qu’Il reçoit des créatures.",ACCEPT_FOR_AUTHORIZATION,REPLACE_RECORD,"Toutes ces bénédictions, tu les offres à Jésus en réparation des blasphèmes et des malédictions qu’Il reçoit des créatures.",UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,NONE_BEYOND_NORMAL_AUDIT_EVIDENCE
C0003,PASSION24.HOUR.01.P021,1,MEDITATION,"Tandis que Vous Vous embrasserez, que Vous Vous donnerez vos derniers Regards, vos derniers Baisers, alors, comme moi je serai entre vos deux Cœurs, que je reçoive ces derniers Baisers, ces derniers Embrassements. Ne voyez-Vous pas que je ne puis être sans Vous ?",H01_MEDITATION,malgrado la mia miseria e la mia freddezza,OMISSION,REPLACE_RECORD,"Tandis que Vous Vous embrasserez, que Vous Vous donnerez vos derniers Regards, vos derniers Baisers, alors, comme moi je serai entre vos deux Cœurs, que je reçoive ces derniers Baisers, ces derniers Embrassements. Ne voyez-Vous pas que je ne puis être sans Vous, malgré ma misère et ma froideur ?",Closing qualifying clause omitted in R5.,AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES,AFLP-27 preserves the missing closing qualification « malgré ma misère et mon indifférence »; Italian R3 governs exact « freddezza »/froideur.,AFLP27_H01_H05,REPLACE_RECORD,"Tandis que Vous Vous embrasserez, que Vous Vous donnerez vos derniers Regards, vos derniers Baisers, alors, comme moi je serai entre vos deux Cœurs, que je reçoive ces derniers Baisers, ces derniers Embrassements. Ne voyez-Vous pas que je ne puis être sans Vous, malgré ma misère et ma froideur ?",ACCEPT_FOR_AUTHORIZATION,REPLACE_RECORD,"Tandis que Vous Vous embrasserez, que Vous Vous donnerez vos derniers Regards, vos derniers Baisers, alors, comme moi je serai entre vos deux Cœurs, que je reçoive ces derniers Baisers, ces derniers Embrassements. Ne voyez-Vous pas que je ne puis être sans Vous, malgré ma misère et ma froideur ?",UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,NONE_BEYOND_NORMAL_AUDIT_EVIDENCE
C0004,PASSION24.HOUR.01.P024,1,MEDITATION,"Ô Jésus, avec ta Maman, je donne un baiser à ton Pied gauche, en Te priant de me pardonner et de pardonner à toutes les créatures pour toutes les fois que nous avons refusé de cheminer vers Dieu. Gloire au Père,…",H01_MEDITATION,bacio,EDITORIAL_DEVOTIONAL_INSERTION,TRIM_RECORD,"Ô Jésus, avec ta Maman, je donne un baiser à ton Pied gauche, en Te priant de me pardonner et de pardonner à toutes les créatures pour toutes les fois que nous avons refusé de cheminer vers Dieu.",Italian R3 has the underlying kiss/reparation text but no doxology; AFLP-27 prints the doxology as bracketed devotional material.,AFLP-27 H01: bracketed Gloire au Père confirms paratext.; AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES_EDITORIAL_STATUS,AFLP-27 prints the Gloire au Père formula in square brackets after the left-foot prayer.,AFLP27_H01_H05,TRIM_RECORD,"Ô Jésus, avec ta Maman, je donne un baiser à ton Pied gauche, en Te priant de me pardonner et de pardonner à toutes les créatures pour toutes les fois que nous avons refusé de cheminer vers Dieu.",ACCEPT_FOR_AUTHORIZATION,TRIM_RECORD,"Ô Jésus, avec ta Maman, je donne un baiser à ton Pied gauche, en Te priant de me pardonner et de pardonner à toutes les créatures pour toutes les fois que nous avons refusé de cheminer vers Dieu.",UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,PRESERVE_REMOVED_SPAN_IN_EVIDENCE/APPARATUS; DO_NOT TREAT AS CORRUPTION
C0005,PASSION24.HOUR.01.P025,1,MEDITATION,"Je donne un baiser à ton Pied droit. Pardonne-moi et pardonne à toutes les créatures toutes les fois que nous n’avons pas poursuivi la sainteté que Tu voulais pour nous. Gloire au Père,…",H01_MEDITATION,bacio,EDITORIAL_DEVOTIONAL_INSERTION,TRIM_RECORD,Je donne un baiser à ton Pied droit. Pardonne-moi et pardonne à toutes les créatures toutes les fois que nous n’avons pas poursuivi la sainteté que Tu voulais pour nous.,Italian R3 has the underlying kiss/reparation text but no doxology; AFLP-27 prints the doxology as bracketed devotional material.,AFLP-27 H01: bracketed Gloire au Père confirms paratext.; AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES_EDITORIAL_STATUS,AFLP-27 prints the Gloire au Père formula in square brackets after the right-foot prayer.,AFLP27_H01_H05,TRIM_RECORD,Je donne un baiser à ton Pied droit. Pardonne-moi et pardonne à toutes les créatures toutes les fois que nous n’avons pas poursuivi la sainteté que Tu voulais pour nous.,ACCEPT_FOR_AUTHORIZATION,TRIM_RECORD,Je donne un baiser à ton Pied droit. Pardonne-moi et pardonne à toutes les créatures toutes les fois que nous n’avons pas poursuivi la sainteté que Tu voulais pour nous.,UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,PRESERVE_REMOVED_SPAN_IN_EVIDENCE/APPARATUS; DO_NOT TREAT AS CORRUPTION
C0006,PASSION24.HOUR.01.P026,1,MEDITATION,"Je donne un baiser à ta Main gauche ; communique-nous ta Pureté. Gloire au Père,…",H01_MEDITATION,bacio,EDITORIAL_DEVOTIONAL_INSERTION,TRIM_RECORD,Je donne un baiser à ta Main gauche ; communique-nous ta Pureté.,Italian R3 has the underlying kiss/reparation text but no doxology; AFLP-27 prints the doxology as bracketed devotional material.,AFLP-27 H01: bracketed Gloire au Père confirms paratext.; AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES_EDITORIAL_STATUS,AFLP-27 prints the Gloire au Père formula in square brackets after the left-hand prayer.,AFLP27_H01_H05,TRIM_RECORD,Je donne un baiser à ta Main gauche ; communique-nous ta Pureté.,ACCEPT_FOR_AUTHORIZATION,TRIM_RECORD,Je donne un baiser à ta Main gauche ; communique-nous ta Pureté.,UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,PRESERVE_REMOVED_SPAN_IN_EVIDENCE/APPARATUS; DO_NOT TREAT AS CORRUPTION
C0007,PASSION24.HOUR.01.P027,1,MEDITATION,"Je donne un baiser à ta Main droite pour que Tu bénisses toutes mes émotions, mes affections et mes pensées, afin que, valorisées par cette bénédiction, elles deviennent toutes saintes. Et avec moi, bénis aussi toutes les créatures et scelle le salut de leur âme. Gloire au Père,…",H01_MEDITATION,"palpiti, pensieri, affetti",MISTRANSLATION_PLUS_EDITORIAL_INSERTION,REPLACE_RECORD,"Je donne un baiser à ta Main droite pour que Tu bénisses tous mes battements de cœur, mes pensées et mes affections, afin que, valorisés par cette bénédiction, tous deviennent saints. Et avec moi, bénis aussi toutes les créatures et scelle le salut de leur âme.","palpiti = heartbeats, not emotions; doxology absent from R3.",AFLP-27 H01 bracketed doxology corroborates exclusion.; AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES,"AFLP-27 has « battements de cœur, pensées et affections » and prints the following Gloire au Père in brackets.",AFLP27_H01_H05,REPLACE_RECORD,"Je donne un baiser à ta Main droite pour que Tu bénisses tous mes battements de cœur, mes pensées et mes affections, afin que, valorisés par cette bénédiction, tous deviennent saints. Et avec moi, bénis aussi toutes les créatures et scelle le salut de leur âme.",ACCEPT_FOR_AUTHORIZATION,REPLACE_RECORD,"Je donne un baiser à ta Main droite pour que Tu bénisses tous mes battements de cœur, mes pensées et mes affections, afin que, valorisés par cette bénédiction, tous deviennent saints. Et avec moi, bénis aussi toutes les créatures et scelle le salut de leur âme.",UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,NONE_BEYOND_NORMAL_AUDIT_EVIDENCE
C0008,PASSION24.HOUR.01.P029,1,MEDITATION,"Gloire au Père,…",H01_MEDITATION,,EDITORIAL_PARATEXT,DELETE_FROM_CANONICAL_LAYER,∅,Standalone doxology absent from Italian R3 meditation.,AFLP-27 H01 presents the devotional doxology separately/bracketed.; AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES_EDITORIAL_STATUS,The verified H1 transcription has no standalone Gloire au Père after the final Heart paragraph; R5 P029 is extra paratext.,AFLP27_H01_H05,DELETE_FROM_CANONICAL_LAYER,∅,ACCEPT_FOR_AUTHORIZATION,DELETE_FROM_CANONICAL_LAYER,∅,UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,NO_SEPARATE_CANONICAL_COPY_REQUIRED; deletion is duplicate/mislocated or unsupported at this locus
C0009,PASSION24.HOUR.02.P010,2,MEDITATION,"La douleur l’empêche de parler davantage. Reine accablée, laisse-moi te soutenir, essuyer tes Larmes et compatir à ta Souffrance. Ma douce Maman, je ne veux pas te laisser seule. Prends-moi avec toi. En ces moments si douloureux pour toi et pour Jésus, enseigne-moi ce que je dois faire, comment je dois défendre Jésus, comment je peux réparer et Le consoler.",H02_MEDITATION,se devo mettere la mia vita per difendere la sua,OMISSION,REPLACE_RECORD,"La douleur l’empêche de parler davantage. Reine accablée, laisse-moi te soutenir, essuyer tes Larmes et compatir à ta Souffrance. Ma douce Maman, je ne veux pas te laisser seule. Prends-moi avec toi. En ces moments si douloureux pour toi et pour Jésus, enseigne-moi ce que je dois faire, comment je dois défendre Jésus, comment je peux réparer et Le consoler, et si je dois donner ma vie pour défendre la Sienne.",Explicit willingness to give her life is omitted.,AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES,AFLP-27 preserves the missing willingness to give one’s life to defend Jesus.,AFLP27_H01_H05,REPLACE_RECORD,"La douleur l’empêche de parler davantage. Reine accablée, laisse-moi te soutenir, essuyer tes Larmes et compatir à ta Souffrance. Ma douce Maman, je ne veux pas te laisser seule. Prends-moi avec toi. En ces moments si douloureux pour toi et pour Jésus, enseigne-moi ce que je dois faire, comment je dois défendre Jésus, comment je peux réparer et Le consoler, et si je dois donner ma vie pour défendre la Sienne.",ACCEPT_FOR_AUTHORIZATION,REPLACE_RECORD,"La douleur l’empêche de parler davantage. Reine accablée, laisse-moi te soutenir, essuyer tes Larmes et compatir à ta Souffrance. Ma douce Maman, je ne veux pas te laisser seule. Prends-moi avec toi. En ces moments si douloureux pour toi et pour Jésus, enseigne-moi ce que je dois faire, comment je dois défendre Jésus, comment je peux réparer et Le consoler, et si je dois donner ma vie pour défendre la Sienne.",UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,NONE_BEYOND_NORMAL_AUDIT_EVIDENCE
C0010,PASSION24.HOUR.02.P011,2,MEDITATION,"Non, je ne te quitterai pas. Et au moindre signe de ta part, je volerai vers Jésus. Je Lui offrirai ton Amour et tes Baisers, auxquels je joindrai les miens. Je les déposerai dans ses saintes Plaies et dans chaque goutte de son Sang versé, afin que ses Peines soient soulagées. Puis je reviendrai à toi. Je t’apporterai ses Baisers pour soulager ton Cœur transpercé. Maman, je veux maintenant rejoindre Jésus. Tandis que je baise tes mains maternelles, tu me bénis comme tu as béni Jésus. Et tu me permets d’aller à Lui.",H02_MEDITATION,"il tuo amore, i tuoi affetti, i tuoi baci",OMISSION,REPLACE_RECORD,"Non, je ne te quitterai pas. Et au moindre signe de ta part, je volerai vers Jésus. Je Lui offrirai ton Amour, tes Affections et tes Baisers, auxquels je joindrai les miens. Je les déposerai dans ses saintes Plaies et dans chaque goutte de son Sang, dans chaque Peine et chaque insulte, afin qu’en chacune de ses Peines Il ressente les Baisers et l’Amour de sa Maman et que ses Peines soient adoucies. Puis je reviendrai à toi. Je t’apporterai ses Baisers pour soulager ton Cœur transpercé. Maman, je veux maintenant rejoindre Jésus. Tandis que je baise tes mains maternelles, tu me bénis comme tu as béni Jésus. Et tu me permets d’aller à Lui.",R5 compresses away affetti and the explicit pain/insult + maternal-love mechanism.,AFLP-27 H01-H05 verified photographic transcription,HIGH,NO,PASS,,CORROBORATES,"AFLP-27 preserves « affections », each suffering/insult, and the maternal kisses/love across the sufferings.",AFLP27_H01_H05,REPLACE_RECORD,"Non, je ne te quitterai pas. Et au moindre signe de ta part, je volerai vers Jésus. Je Lui offrirai ton Amour, tes Affections et tes Baisers, auxquels je joindrai les miens. Je les déposerai dans ses saintes Plaies et dans chaque goutte de son Sang, dans chaque Peine et chaque insulte, afin qu’en chacune de ses Peines Il ressente les Baisers et l’Amour de sa Maman et que ses Peines soient adoucies. Puis je reviendrai à toi. Je t’apporterai ses Baisers pour soulager ton Cœur transpercé. Maman, je veux maintenant rejoindre Jésus. Tandis que je baise tes mains maternelles, tu me bénis comme tu as béni Jésus. Et tu me permets d’aller à Lui.",ACCEPT_FOR_AUTHORIZATION,REPLACE_RECORD,"Non, je ne te quitterai pas. Et au moindre signe de ta part, je volerai vers Jésus. Je Lui offrirai ton Amour, tes Affections et tes Baisers, auxquels je joindrai les miens. Je les déposerai dans ses saintes Plaies et dans chaque goutte de son Sang, dans chaque Peine et chaque insulte, afin qu’en chacune de ses Peines Il ressente les Baisers et l’Amour de sa Maman et que ses Peines soient adoucies. Puis je reviendrai à toi. Je t’apporterai ses Baisers pour soulager ton Cœur transpercé. Maman, je veux maintenant rejoindre Jésus. Tandis que je baise tes mains maternelles, tu me bénis comme tu as béni Jésus. Et tu me permets d’aller à Lui.",UNCHANGED,R4 row survived final adversarial review unchanged: exact R5 target verified; Italian direction retained; AFLP control considered; no material French or governance defect found.,NONE_BEYOND_NORMAL_AUDIT_EVIDENCE
