span_id,container,quote_family,quotation_depth,open_target,open_offset,close_target,close_offset,cross_record,semantic_speaker,presentation_parent,opener_hidden,closer_hidden,opener_presentation,first_lexical_target,first_lexical_offset,first_lexical_presentation,last_lexical_target,last_lexical_offset,last_lexical_presentation,closer_presentation,expected_class,actual_class,source_basis,status,defects,snippet
A-Q00001,HOUR_01_BODY,guillemet,1,PASSION24.HOUR.01.P008,85,PASSION24.HOUR.01.P008,109,False,MARY,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.01.P008,87,MARY,PASSION24.HOUR.01.P008,105,MARY,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|MARY|MARY|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Je Te bénis, ô Fils ! »"
A-Q00005,HOUR_01_BODY,guillemet,1,PASSION24.HOUR.01.P014,92,PASSION24.HOUR.01.P014,118,False,MARY,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.01.P014,94,MARY,PASSION24.HOUR.01.P014,114,MARY,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|MARY|MARY|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Fils, bénis-moi aussi ! »"
A-Q00008,HOUR_02_BODY,guillemet,1,PASSION24.HOUR.02.P009,0,PASSION24.HOUR.02.P009,93,False,MARY,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.02.P009,2,MARY,PASSION24.HOUR.02.P009,89,MARY,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|MARY|MARY|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon Fils, mon Fils, je Te bénis ! Quelle cruelle séparation, plus pénible que toute mort ! »"
A-Q00009,HOUR_02_BODY,guillemet,1,PASSION24.HOUR.02.P012,262,PASSION24.HOUR.02.P012,390,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.02.P012,264,JESUS,PASSION24.HOUR.02.P012,387,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« C’est la dernière fois que Je parcours librement ces rues. Demain, Je les parcourrai, lié, traîné et conspué de mille façons. »"
A-Q00010,HOUR_02_BODY,guillemet,1,PASSION24.HOUR.02.P014,0,PASSION24.HOUR.02.P014,202,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.02.P014,2,JESUS,PASSION24.HOUR.02.P014,199,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Ma Vie est sur le point de s’éteindre ici-bas comme le soleil est sur le point de se coucher. Demain à pareille heure, Je n’y serai plus ! Mais en tant que Soleil, Je ressusciterai le troisième jour. »"
A-Q00011,HOUR_02_BODY,guillemet,1,PASSION24.HOUR.02.P015,13,PASSION24.HOUR.02.P015,146,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.02.P015,15,JESUS,PASSION24.HOUR.02.P015,143,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Courage, ne vous laissez pas abattre, Je serai toujours avec vous. Cependant, il est nécessaire que Je meure pour le bien de tous. »"
A-Q00012,HOUR_03_BODY,guillemet,1,PASSION24.HOUR.03.P003,0,PASSION24.HOUR.03.P003,101,False,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.03.P003,2,JESUS,PASSION24.HOUR.03.P003,99,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,V101126_TEXT_REBIND_OP-H03-003-01; NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Quelle est l’utilité de mon Sang ? Voilà qu’une âme à laquelle J’ai fait tant de bien, est perdue ! »"
A-Q00019,HOUR_04_BODY,guillemet,1,PASSION24.HOUR.04.P005,0,PASSION24.HOUR.04.P010,142,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.04.P005,2,JESUS,PASSION24.HOUR.04.P010,138,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Je vous demande votre âme. Je vous tends des pièges d’Amour pour vous attirer à Moi. Je veux, au moyen de cette eau mêlée à mes Larmes, vous purifier de toute imperfection et vous préparer à Me recevoir dans le Grand Sacrement. Cet acte de purification Me tient tellement à Cœur que Je ne veux le confier ni aux anges, ni à ma chère Maman. … Ô âmes, voyez toutes ces offenses qu’on Me fait et réparez au moyen de mes p"
A-Q00020,HOUR_04_BODY,guillemet,1,PASSION24.HOUR.04.P020,0,PASSION24.HOUR.04.P021,190,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.04.P020,2,JESUS,PASSION24.HOUR.04.P021,186,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon fils, de grâce, Je te prie par la voix de mes Larmes, ne va pas en enfer, donne-Moi ton âme. … Je te le demande prosterné à tes pieds ! Dis-Moi ce que tu veux ! Qu’exiges-tu ? Je te donnerai tout, pourvu que tu ne te perdes pas ! De grâce, épargne-Moi cette douleur, à Moi, ton Dieu ! »"
A-Q00022,HOUR_04_BODY,guillemet,1,PASSION24.HOUR.04.P029,0,PASSION24.HOUR.04.P034,112,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.04.P029,2,JESUS,PASSION24.HOUR.04.P034,109,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Père Saint, qu’on Te rende grâce à Toi qui exauces toujours ton Fils. Père Saint, coopère avec Moi. Toi, un jour, Tu M’envoyas du Ciel sur la terre pour que Je M’incarne dans le sein d’une Vierge pour sauver nos enfants. … Nos Œuvres sont éternelles et mon Amour est incommensurable. Je ne puis, ni ne veux, laisser mes enfants seuls. »"
A-Q00023,HOUR_04_BODY,guillemet,1,PASSION24.HOUR.04.P062,19,PASSION24.HOUR.04.P065,92,True,JESUS,OUTSIDE,True,True,HIDDEN,PASSION24.HOUR.04.P062,21,JESUS,PASSION24.HOUR.04.P065,89,JESUS,HIDDEN,HIDDEN_OUTER_WRAPPER,HIDDEN|JESUS|JESUS|HIDDEN,NO_DIVINE_PARENT; ACTIVE_ADJUDICATION_OR_SPEECH_DATA,PASS,,"« Mon enfant, dans cette Hostie, Je travaille du matin au soir, fabriquant des chaînes d’Amour. Quand les âmes viennent chez Moi, Je les enchaîne à mon Cœur. … Cela M’attriste tant que ça Me donne une fièvre violente qui Me fait M’évanouir et délirer. »"
